DOI,Family,Collection
10.11648/j.ajaf.20241204.13,Poaceae,Poaceae
10.5091/plecevo.127900,Loranthaceae,2025 No Taxonomic Expert Network
10.1590/1677-941X-ABB-2023-0162,Alstroemeriaceae,2025 No Taxonomic Expert Network
10.1590/1677-941X-ABB-2023-0240,Blechnaceae,PPG
10.1007/s40415-024-01054-3,Caesalpiniaceae,Legumes
10.3897/phytokeys.251.135126,Gesneriaceae,Gesneriaceae
10.1590/1677-941X-ABB-2023-0271,Clusiaceae,Clusiaceae
10.1590/1677-941X-ABB-2023-0282,Passifloraceae,2025 No Taxonomic Expert Network
10.1590/1677-941X-ABB-2024-0076,Convolvulaceae,Convolvulaceae
10.1007/s40415-024-01042-7,Mimosaceae,2025 No Taxonomic Expert Network
10.1007/s40415-024-01065-0,Fabaceae,Legumes
10.1016/j.heliyon.2024.e41603,Zingiberaceae,Zingiberaceae
10.3897/phytokeys.251.139955,Polygalaceae,2025 No Taxonomic Expert Network
10.11110/kjpt.2024.54.4.285,Rosaceae,2025 No Taxonomic Expert Network
10.34971/N173-CW26,Orchidaceae,2025 No Taxonomic Expert Network
10.34971/Q04B-YW71,Rosaceae,2025 No Taxonomic Expert Network
10.1111/njb.04556,Orchidaceae,2025 No Taxonomic Expert Network
10.3372/wi.54.54201,Zingiberaceae,Zingiberaceae
10.3372/wi.54.54301,Fagaceae,Fagaceae
10.3372/wi.54.54302,Alliaceae,2025 No Taxonomic Expert Network
10.1016/j.sajb.2024.05.037,Asteraceae,Asteraceae
10.11646/phytotaxa.679.1.1,Asteraceae,Asteraceae
10.51033/jjapbot.ID0194,Gentianaceae,2025 No Taxonomic Expert Network
10.11646/phytotaxa.681.1.1,Acanthaceae,Acanthaceae
10.11646/phytotaxa.681.1.3,Orchidaceae,2025 No Taxonomic Expert Network
10.11646/phytotaxa.681.1.4,Fagaceae,Fagaceae
10.11646/phytotaxa.681.1.7,Malesherbiaceae,2025 No Taxonomic Expert Network
10.11646/phytotaxa.681.1.8,Begoniaceae,Begoniaceae
10.3767/blumea.2024.69.02.05,Annonaceae,Annonaceae
10.1007/s10265-024-01558-9,Hyacinthaceae,2025 No Taxonomic Expert Network
10.14258/turczaninowia.27.4.20,Iridaceae,2025 No Taxonomic Expert Network
10.15553/c2024v792a1,Molluginaceae,Caryophyllales
10.1016/j.ympev.2024.108254,Leguminosae,Legumes
