id,authors_t,basionym_s_lower,basionym_author_s_lower,lookup_basionym_id,bibliographic_reference_s_lower,bibliographic_type_info_s_lower,reference_collation_s_lower,collection_date_as_text_s_lower,collection_day_1_s_lower,collection_day_2_s_lower,collection_month_1_s_lower,collection_month_2_s_lower,collection_number_s_lower,collection_year_1_s_lower,collection_year_2_s_lower,collector_team_as_text_t,lookup_conserved_against_id,lookup_correction_of_id,date_created_date,date_last_modified_date,distribution_s_lower,east_or_west_s_lower,family_s_lower,taxon_scientific_name_s_lower,taxon_sci_name_suggestion,genus_s_lower,geographic_unit_as_text_s_lower,hybrid_b,hybrid_genus_b,lookup_hybrid_parent_id,hybrid_parents_s_lower,infra_family_s_lower,infra_genus_s_lower,infraspecies_s_lower,lookup_isonym_of_id,lookup_later_homonym_of_id,latitude_degrees_s_lower,latitude_minutes_s_lower,latitude_seconds_s_lower,locality_s_lower,longitude_degrees_s_lower,longitude_minutes_s_lower,longitude_seconds_s_lower,name_status_s_lower,name_status_bot_code_type_s_lower,name_status_editor_type_s_lower,nomenclatural_synonym_s_lower,lookup_nomenclatural_synonym_id,north_or_south_s_lower,original_basionym_s_lower,original_basionym_author_team_s_lower,original_hybrid_parentage_s_lower,original_remarks_s_lower,original_replaced_synonym_s_lower,original_taxon_distribution_s_lower,lookup_orthographic_variant_of_id,other_links_s_lower,lookup_parent_id,publication_s_lower,lookup_publication_id,publication_year_i,publication_year_full_s_lower,publication_year_note_s_lower,publishing_author_s_lower,rank_s_alphanum,reference_t,reference_remarks_s_lower,remarks_s_lower,lookup_replaced_synonym_id,lookup_same_citation_as_id,score_s_lower,species_s_lower,species_author_s_lower,lookup_superfluous_name_of_id,suppressed_b,top_copy_b,lookup_type_id,type_locations_s_lower,type_name_s_lower,type_remarks_s_lower,type_chosen_by_s_lower,type_note_s_lower,detail_author_team_ids,detail_species_author_team_ids,page_as_text_s_lower,citation_type_s_lower,lookup_validation_of_id,version_s_lower,powo_b,sortable,family_taxon_name_sortable,rhakhis_pk,rhakhis_wfo,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_parent,rhakhis_accepted,rhakhis_basionym
urn:lsid:ipni.org:names:77359660-1,"A.Doucette, H.Medina & J.Portilla",,,,,,1(1): 6,,,,,,EG-0413,,,Ecuagenera,,,45748.0308,45748.50788,"Ecuador (Western South America, Southern America)",W,Orchidaceae,Pleurothallis marioportillae,Pleurothallis marioportillae,Pleurothallis,,f,f,,,,,,,,3,51,46,"Zamora Chinchipe: Canton El Pangui, Los Encuentros, community of El Zarza, 1450 m",78,33,3,,,,,,S,,,,,,,,,325966-2,Andreettana,urn:lsid:ipni.org:publications:20056319-1,2025,2025 [Jan 2025],[Jan 2025],"A.Doucette, H.Medina & J.Portilla",spec.,Andreettana 1(1): 6. 2025 [Jan 2025] [epublished],[epublished],"[english] Etymology: the new species is named for Mario Portilla, owner of Equaflor-A, and brother of Jose Portilla.",,,11,marioportillae,,,f,t,,holotype HA,,Flowered in cultivation at Ecuagenera.,,,H.Medina@20015276-1@2@aut$A.Doucette@20016748-1@1@aut$J.Portilla@36972-1@3@aut,,,tax. nov.,,1.3,f,pleurothallis~marioportillae,orchidaceaepleurothallis~marioportillae~,1,wfo-1000080767,,species,,,,
urn:lsid:ipni.org:names:77359661-1,H.Medina & J.Portilla,,,,,,1(1): 9,,,,,,EG-0412,,,Ecuagenera,,,45748.0341,45748.51281,"Ecuador (Western South America, Southern America)",W,Orchidaceae,Porroglossum doucetteanum,Porroglossum doucetteanum,Porroglossum,,f,f,,,,,,,,3,15,17,"Morona-Santiago: Chiguinda, near Bermejos, 2000 m",78,43,26,,,,,,S,,,,,,,,,290988-2,Andreettana,urn:lsid:ipni.org:publications:20056319-1,2025,2025 [Jan 2025],[Jan 2025],H.Medina & J.Portilla,spec.,Andreettana 1(1): 9. 2025 [Jan 2025] [epublished],[epublished],[english] Etymology: The new species is named for Alfonso Doucette.,,,11,doucetteanum,,,f,t,,holotype HA,,"Flowered in cultivation at Ecuagenera, Gualaceo",,,H.Medina@20015276-1@1@aut$J.Portilla@36972-1@2@aut,,,tax. nov.,,1.3,f,porroglossum~doucetteanum,orchidaceaeporroglossum~doucetteanum~,2,wfo-1000080768,,species,,,,
urn:lsid:ipni.org:names:77359662-1,"H.Medina, J.Portilla & I.Portilla",,,,,,1(1): 12,,,,,,EG 0418,2024,,Ecuagenera,,,45748.03654,45748.51793,"Ecuador (Western South America, Southern America)",W,Orchidaceae,Masdevallia alexportillae,Masdevallia alexportillae,Masdevallia,,f,f,,,,,,,,4,23,47,"Zamora Chinchipe, Nangaritza canton, Centro Mariposa sector, c. 1100 m",78,44,17,,,,,,S,,,,,,,,,30000945-2,Andreettana,urn:lsid:ipni.org:publications:20056319-1,2025,2025 [Jan 2025],[Jan 2025],"H.Medina, J.Portilla & I.Portilla",spec.,Andreettana 1(1): 12. 2025 [Jan 2025] [epublished],[epublished],"Etymology: the species is named after Alexander Portilla of Ecuador, who participated in the collection of the species. Europe manager in Europe and nephew of Jose Portilla founder and executive president of Ecuagenera Cia Ltda.",,,11,alexportillae,,,f,t,,holotype HA,,Flowered in cultivation at Ecuagenera Gualaceo.,,,J.Portilla@36972-1@2@aut$H.Medina@20015276-1@1@aut$I.Portilla@20013203-1@3@aut,,,tax. nov.,,1.3,f,masdevallia~alexportillae,orchidaceaemasdevallia~alexportillae~,3,wfo-1000080769,,species,,,,
urn:lsid:ipni.org:names:77359663-1,"H.Medina, J.Portilla & I.Portilla",,,,,,1(1): 15,,,,,,EG 0418,2024,,Ecuagenera,,,45748.03987,45748.51947,"Ecuador (Western South America, Southern America)",W,Orchidaceae,Masdevallia ehmigiana,Masdevallia ehmigiana,Masdevallia,,f,f,,,,,,,,4,23,47,"Zamora Chinchipe, Nangaritza canton, Centro Mariposa sector, c. 1100 m",78,44,17,,,,,,S,,,,,,,,,30000945-2,Andreettana,urn:lsid:ipni.org:publications:20056319-1,2025,2025 [Jan 2025],[Jan 2025],"H.Medina, J.Portilla & I.Portilla",spec.,Andreettana 1(1): 15. 2025 [Jan 2025] [epublished],[epublished],"Etymology: the specific epithet honours the Ecuadorian, Magister. Hans Ehmig Dillon, currently Superintendent of Economic Competition, Doctor in Jurisprudence and Lawyer of the Courts and Tribunals of the Republic of Ecuador.",,,11,ehmigiana,,,f,t,,holotype HA,,Flowered in cultivation at Ecuagenera Gualaceo.,,,J.Portilla@36972-1@2@aut$H.Medina@20015276-1@1@aut$I.Portilla@20013203-1@3@aut,,,tax. nov.,,1.3,f,masdevallia~ehmigiana,orchidaceaemasdevallia~ehmigiana~,4,wfo-1000080770,,species,,,,
urn:lsid:ipni.org:names:77359664-1,"H.Medina, J.Portilla & I.Portilla",,,,,,1(1): 18,,,,,,EG 0417,2024,,Ecuagenera,,,45748.04514,45761.88819,"Ecuador (Western South America, Southern America)",W,Orchidaceae,Masdevallia jorgeportillana,Masdevallia jorgeportillana,Masdevallia,,f,f,,,,,,,,3,40,55,"Loja, Saraguro canton, Las Antenas sector, c. 3250 m",79,14,25,,,,,,S,,,,,,,,,30000945-2,Andreettana,urn:lsid:ipni.org:publications:20056319-1,2025,2025 [Jan 2025],[Jan 2025],"H.Medina, J.Portilla & I.Portilla",spec.,Andreettana 1(1): 18. 2025 [Jan 2025] ,,"Etymology: Named after Jorge Portilla of Ecuador, who participated in the collection of the species. United States sales representative and son of Iván Portilla executive vicepresident of Ecuagenera Cia Ltda.",,,11,jorgeportillana,,,f,t,,holotype HA,,Flourished in cultivation in Ecuagenera Gualaceo.,,,H.Medina@20015276-1@1@aut$J.Portilla@36972-1@2@aut$I.Portilla@20013203-1@3@aut,,,tax. nov.,,1.4,f,masdevallia~jorgeportillana,orchidaceaemasdevallia~jorgeportillana~,5,wfo-1000080771,,species,,,,
urn:lsid:ipni.org:names:77359665-1,"H.Medina, J.Portilla & I.Portilla",,,,,,1(1): 21,,,,,,EG 0416,2024,,Ecuagenera,,,45748.04885,45749.64272,"Ecuador (Western South America, Southern America)",W,Orchidaceae,Masdevallia kiatiana,Masdevallia kiatiana,Masdevallia,,f,f,,,,,,,,3,48,68,"Zamora Chinchipe, Centinela del Condor canton, El Zarza community, road leading to Rio Blanco, 1400 m",78,33,43,,,,,,S,,,,,,,,,30000945-2,Andreettana,urn:lsid:ipni.org:publications:20056319-1,2025,2025 [Jan 2025],[Jan 2025],"H.Medina, J.Portilla & I.Portilla",spec.,"Andreettana 1(1): 21. 2025 [Jan 2025] , as 'kiatana' [epublished]",", as 'kiatana' [epublished]","Etymology: the specific epithet honours 'Kiat', Dr. Kiat W. Tan (Singapore, 1943-), Ph.D. in Botany/Plant Biology from the University of Miami. He is currently Chief Executive Officer of Gardens by the Bay, Singapore (epithet spelling corrected after personal communication with authors).",,,11,kiatiana,,,f,t,,holotype HA,,Flourished in cultivation in Ecuagenera Gualaceo.,,,I.Portilla@20013203-1@3@aut$H.Medina@20015276-1@1@aut$J.Portilla@36972-1@2@aut,,,tax. nov.,,1.5,f,masdevallia~kiatiana,orchidaceaemasdevallia~kiatiana~,6,wfo-1000080772,,species,,,,
urn:lsid:ipni.org:names:77359666-1,"A.Doucette, H.Medina & J.Portilla",,,,,,1(1): 25,,,,,,EG-0516,,,Ecuagenera,,,45748.05212,45749.64182,"Ecuador (Western South America, Southern America)",W,Ericaceae,Ceratostema kiatianum,Ceratostema kiatianum,Ceratostema,,f,f,,,,,,,,4,5,39,"Zamora Chinchipe: Canton Zamora, San Carlos de Las Minas along the road to San Carlos to Minas de Nambija, c. 1550 m",78,48,13,,,,,,S,,,,,,,,,30006961-2,Andreettana,urn:lsid:ipni.org:publications:20056319-1,2025,2025 [Jan 2025],[Jan 2025],"A.Doucette, H.Medina & J.Portilla",spec.,"Andreettana 1(1): 25. 2025 [Jan 2025] , as 'kiatana' [epublished]",", as 'kiatana' [epublished]","[english] Etymology: the specific epithet is named for 'Kiat', Dr. Kiat W. Tan, past director of the Botanical Garden of Singapur (epithet spelling corrected after personal communication with authors).",,,11,kiatianum,,,f,t,,holotype HA,,Cultivated.,,,A.Doucette@20016748-1@1@aut$J.Portilla@36972-1@3@aut$H.Medina@20015276-1@2@aut,,,tax. nov.,,1.5,f,ceratostema~kiatianum,ericaceaeceratostema~kiatianum~,7,wfo-1000080773,,species,,,,
urn:lsid:ipni.org:names:77359667-1,"A.Doucette, H.Medina & J.Portilla",,,,,,1(1): 28,,,,,,EG-0519,,,Ecuagenera,,,45748.05443,45748.43887,"Ecuador (Western South America, Southern America)",W,Ericaceae,Ceratostema medinae,Ceratostema medinae,Ceratostema,,f,f,,,,,,,,1,44,25,"Bolivar: Bolivar, San Miguel canton, Balsapamba parish, road to nearby farms, c. 1200 m",79,9,25,,,,,,S,,,,,,,,,30006961-2,Andreettana,urn:lsid:ipni.org:publications:20056319-1,2025,2025 [Jan 2025],[Jan 2025],"A.Doucette, H.Medina & J.Portilla",spec.,Andreettana 1(1): 28. 2025 [Jan 2025] [epublished],[epublished],[english] Etymology: the specific epithet is named for Hugo Medina.,,,11,medinae,,,f,t,,holotype HA,,,,,J.Portilla@36972-1@3@aut$A.Doucette@20016748-1@1@aut$H.Medina@20015276-1@2@aut,,,tax. nov.,,1.3,f,ceratostema~medinae,ericaceaeceratostema~medinae~,8,wfo-1000080774,,species,,,,
urn:lsid:ipni.org:names:77359668-1,"A.Doucette, H.Medina & J.Portilla",,,,,,1(1): 33,,,,,,,,,,,,45748.06141,45748.43556,,,Ericaceae,Ceratostema ivanportillae,Ceratostema ivanportillae,Ceratostema,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,null:,30006961-2,Andreettana,urn:lsid:ipni.org:publications:20056319-1,2025,2025 [Jan 2025],[Jan 2025],"A.Doucette, H.Medina & J.Portilla",spec.,Andreettana 1(1): 33. 2025 [Jan 2025] [epublished],[epublished],,77358257-1,,9,ivanportillae,,,f,t,,,,,,,J.Portilla@36972-1@3@aut$A.Doucette@20016748-1@1@aut$H.Medina@20015276-1@2@aut,,,nom. nov.,,1.3,f,ceratostema~ivanportillae,ericaceaeceratostema~ivanportillae~,9,wfo-1000080775,,species,,,,
urn:lsid:ipni.org:names:77359669-1,A.Doucette,,,,,,1(1): 36,,21,,12,,263,2024,,A.Doucette,,,45748.06446,45748.41932,"Peru (Western South America, Southern America)",,Orchidaceae,Lepanthes artificialis,Lepanthes artificialis,Lepanthes,,f,f,,,,,,,,,,,Peru?,,,,,,,,,,,,,,,,,,30000786-2,Andreettana,urn:lsid:ipni.org:publications:20056319-1,2025,2025 [Jan 2025],[Jan 2025],A.Doucette,spec.,Andreettana 1(1): 36. 2025 [Jan 2025] [epublished],[epublished],"[english] Etymology: the specific epithet artificialis (Latin: 'artificial') refers to the novel process by which the name of this species was produced and the article composed, with assistance from artificial intelligence.",,,11,artificialis,,,f,t,,holotype WIS,,"Cultivated: imported by Tarzane Group, Miami, FL, as 'Lepanthes sp. Peru 055' flowered in cultivation in Madison, WI.",,,A.Doucette@20016748-1@1@aut,,,tax. nov.,,1.3,f,lepanthes~artificialis,orchidaceaelepanthes~artificialis~,10,wfo-1000080776,,species,,,,
