id,basionym_s_lower,basionym_author_s_lower,lookup_basionym_id,bibliographic_reference_s_lower,bibliographic_type_info_s_lower,reference_collation_s_lower,collection_date_as_text_s_lower,collection_day_1_s_lower,collection_day_2_s_lower,collection_month_1_s_lower,collection_month_2_s_lower,collection_number_s_lower,collection_year_1_s_lower,collection_year_2_s_lower,collector_team_as_text_t,lookup_conserved_against_id,lookup_correction_of_id,date_created_date,date_last_modified_date,distribution_s_lower,east_or_west_s_lower,family_s_lower,taxon_scientific_name_s_lower,taxon_sci_name_suggestion,genus_s_lower,authors_t,geographic_unit_as_text_s_lower,hybrid_b,hybrid_genus_b,lookup_hybrid_parent_id,hybrid_parents_s_lower,infra_family_s_lower,infra_genus_s_lower,infraspecies_s_lower,lookup_isonym_of_id,lookup_later_homonym_of_id,latitude_degrees_s_lower,latitude_minutes_s_lower,latitude_seconds_s_lower,locality_s_lower,longitude_degrees_s_lower,longitude_minutes_s_lower,longitude_seconds_s_lower,name_status_s_lower,name_status_bot_code_type_s_lower,name_status_editor_type_s_lower,nomenclatural_synonym_s_lower,lookup_nomenclatural_synonym_id,north_or_south_s_lower,original_basionym_s_lower,original_basionym_author_team_s_lower,original_hybrid_parentage_s_lower,original_remarks_s_lower,original_replaced_synonym_s_lower,original_taxon_distribution_s_lower,lookup_orthographic_variant_of_id,other_links_s_lower,lookup_parent_id,publication_s_lower,lookup_publication_id,publication_year_i,publication_year_full_s_lower,publication_year_note_s_lower,publishing_author_s_lower,rank_s_alphanum,reference_t,reference_remarks_s_lower,remarks_s_lower,lookup_replaced_synonym_id,lookup_same_citation_as_id,score_s_lower,species_s_lower,species_author_s_lower,lookup_superfluous_name_of_id,suppressed_b,top_copy_b,lookup_type_id,type_locations_s_lower,type_name_s_lower,type_remarks_s_lower,type_chosen_by_s_lower,type_note_s_lower,detail_author_team_ids,detail_species_author_team_ids,page_as_text_s_lower,citation_type_s_lower,lookup_validation_of_id,version_s_lower,powo_b,sortable,family_taxon_name_sortable,rhakhis_pk,rhakhis_wfo,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_parent,rhakhis_accepted,rhakhis_basionym,IPNIPUB,label,refurl
urn:lsid:ipni.org:names:77366611-1,,,,,,ed. 4: 122,,,,,,,,,,,,01/08/2025 00:39,05/08/2025 16:13,,,Asteraceae,Aster × cordi-belgii,Aster × cordi-belgii,Aster,Silva Tar. & C.K.Schneid.,,t,f,"309934-2,272852-2",(Aster cordifolius L. × Aster novi-belgii L.),,,,,,,,,,,,,,,,,,,,,,,,,,,331068-2,Freiland-Staud.,urn:lsid:ipni.org:publications:20050615-1,1927,1927,,Silva Tar. & C.K.Schneid.,spec.,Freiland-Staud. ed. 4: 122. 1927 ,,Name added via registration. Protologue not seen by the IPNI editors.,,,8,cordi-belgii,,,f,t,,,,,,,Silva Tar.@9648-1@1@aut$C.K.Schneid.@9189-1@2@aut,,,tax. nov.,,1.3,f,aster~cordi-belgii,asteraceaeaster~cordi-belgii~,,wfo-1000083524,,,,,,,Freiland-Staud. ed. 4: 122 (1927),IPNI Record: 77366611-1,https://www.ipni.org/n/77366611-1
urn:lsid:ipni.org:names:77366612-1,,,,,,189,,,,,,,,,,,,01/08/2025 01:59,05/08/2025 15:57,,,Asteraceae,Aster spathulatus,Aster spathulatus,Aster,E.Forst. ex J.Forbes,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331068-2,Hort. Woburn.,urn:lsid:ipni.org:publications:7716-2,1833,1833 [Oct-Nov 1833],[Oct-Nov 1833],E.Forst. ex J.Forbes,spec.,Hort. Woburn. 189. 1833 [Oct-Nov 1833] ,,,,,8,spathulatus,,,f,t,,,,,,,E.Forst.@2833-1@1@aut$J.Forbes@2817-1@2@autEx,,,tax. nov.,,1.3,f,aster~spathulatus,asteraceaeaster~spathulatus~,,wfo-1000083922,,,,,,,Hort. Woburn. 189 (1833),IPNI Record: 77366612-1,https://www.ipni.org/n/77366612-1
urn:lsid:ipni.org:names:77366613-1,Thelypteridaceae Cyclosorus thailandicus S.Linds.,(S.Linds.),77095869-1,,,712(3): 298,,,,,,,,,,,,01/08/2025 08:34,04/08/2025 06:11,,,Thelypteridaceae,Christella thailandica,Christella thailandica,Christella,(S.Linds.) R.Ojha,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,null:,17281140-1,Phytotaxa,urn:lsid:ipni.org:publications:20011462-1,2025,2025 [1 Aug 2025],[1 Aug 2025],R.Ojha,spec.,Phytotaxa 712(3): 298. 2025 [1 Aug 2025] [epublished],[epublished],doi:10.11646/phytotaxa.712.1.7,,,11,thailandica,,,f,t,,,,,,,S.Linds.@20000025-2@2@bas$R.Ojha@20082980-1@1@aut,,,comb. nov.,,1.4,f,christella~thailandica,thelypteridaceaechristella~thailandica~,,wfo-1000075007,,,,,,,Phytotaxa 712(3): 298 (2025),IPNI Record: 77366613-1,https://www.ipni.org/n/77366613-1
urn:lsid:ipni.org:names:77366614-1,Thelypteridaceae Cyclosorus clavatus K.H.Shing,(K.H.Shing),77134357-1,,,712(3): 298,,,,,,,,,,,,01/08/2025 08:35,04/08/2025 06:11,,,Thelypteridaceae,Christella clavata,Christella clavata,Christella,(K.H.Shing) R.Ojha,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,null:,17281140-1,Phytotaxa,urn:lsid:ipni.org:publications:20011462-1,2025,2025 [1 Aug 2025],[1 Aug 2025],R.Ojha,spec.,Phytotaxa 712(3): 298. 2025 [1 Aug 2025] [epublished],[epublished],doi:10.11646/phytotaxa.712.1.7,,,11,clavata,,,f,t,,,,,,,K.H.Shing@35294-1@2@bas$R.Ojha@20082980-1@1@aut,,,comb. nov.,,1.4,f,christella~clavata,thelypteridaceaechristella~clavata~,,wfo-1000083525,,,,,,,Phytotaxa 712(3): 298 (2025),IPNI Record: 77366614-1,https://www.ipni.org/n/77366614-1
urn:lsid:ipni.org:names:77366615-1,,,,,,14: 23,,,,,,,,,,,,01/08/2025 09:05,05/08/2025 13:51,,,Rosaceae,Potentilla arenaria,Potentilla arenaria,Potentilla,Borkh. ex Zimmeter,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000237-2,Jahresber. K. K. Staats-Ober-Realschule Steyr,urn:lsid:ipni.org:publications:16531-2,1884,1884,,Borkh. ex Zimmeter,spec.,Jahresber. K. K. Staats-Ober-Realschule Steyr 14: 23. 1884 ,,"Name added via registration, protologue not seen by the IPNI editors.",,,8,arenaria,,,f,t,,,,,,,Zimmeter@12041-1@2@autEx$Borkh.@16350-1@1@aut,,,tax. nov.,,1.3,f,potentilla~arenaria,rosaceaepotentilla~arenaria~,,wfo-1000083923,,,,,,,Jahresber. K. K. Staats-Ober-Realschule Steyr 14: 23 (1884),IPNI Record: 77366615-1,https://www.ipni.org/n/77366615-1
urn:lsid:ipni.org:names:77366616-1,Rosaceae Potentilla cinerea D.F.K.Schltdl. var. pusilla Heuff.,(Heuff.),77366482-1,,,11: 238,,,,,,,,,,,,01/08/2025 09:11,05/08/2025 13:59,,,Rosaceae,Potentilla arenaria f. pusilla,Potentilla arenaria f. pusilla,Potentilla,(Heuff.) Soó,,f,f,,,,,pusilla,,,,,,,,,,,,,,,,,,,,,,,null:,77366615-1,Acta Bot. Acad. Sci. Hung.,urn:lsid:ipni.org:publications:4755-2,1965,1965,,Soó,f.,Acta Bot. Acad. Sci. Hung. 11: 238. 1965 ,,,,,11,arenaria,Borkh. ex Zimmeter,,f,t,,,,,,,Heuff.@3911-1@2@bas$Soó@9897-1@1@aut,Borkh.@0-0@1@aut$Zimmeter@0-0@2@autEx,,comb. nov.,,1.3,f,potentilla~arenariapusilla,rosaceaepotentilla~arenariapusilla,,wfo-1200086121,,,,,,,Acta Bot. Acad. Sci. Hung. 11: 238 (1965),IPNI Record: 77366616-1,https://www.ipni.org/n/77366616-1
urn:lsid:ipni.org:names:77366617-1,,,,,,11: 239,,,,,,,,,,,,01/08/2025 09:27,05/08/2025 13:56,,,Rosaceae,Potentilla arenaria f. ochroleuca,Potentilla arenaria f. ochroleuca,Potentilla,Priszter ex Soó,,f,f,,,,,ochroleuca,,,,,,,,,,nom. inval.    No type designated.,,nom. inval.,,,,,,,,,,,,77366615-1,Acta Bot. Acad. Sci. Hung.,urn:lsid:ipni.org:publications:4755-2,1965,1965,,Priszter ex Soó,f.,Acta Bot. Acad. Sci. Hung. 11: 239. 1965 ,,,,,9,arenaria,Borkh. ex Zimmeter,,f,t,,,,,,,Soó@9897-1@2@autEx$Priszter@7969-1@1@aut,Borkh.@0-0@1@aut$Zimmeter@0-0@2@autEx,,tax. nov.,,1.3,f,potentilla~arenariaochroleuca,rosaceaepotentilla~arenariaochroleuca,,wfo-1200077242,,,,,,,Acta Bot. Acad. Sci. Hung. 11: 239 (1965),IPNI Record: 77366617-1,https://www.ipni.org/n/77366617-1
urn:lsid:ipni.org:names:77366618-1,Rosaceae Potentilla cinerea Chaix ex Vill. f. minutula Beck,(Beck),77366483-1,,,11: 239,,,,,,,,,,,,01/08/2025 09:30,05/08/2025 13:53,,,Rosaceae,Potentilla arenaria f. minutula,Potentilla arenaria f. minutula,Potentilla,(Beck) Soó,,f,f,,,,,minutula,,,,,,,,,,,,,,,,,,,,,,,null:,77366615-1,Acta Bot. Acad. Sci. Hung.,urn:lsid:ipni.org:publications:4755-2,1965,1965,,Soó,f.,Acta Bot. Acad. Sci. Hung. 11: 239. 1965 ,,,,,11,arenaria,Borkh. ex Zimmeter,,f,t,,,,,,,Beck@12341-1@2@bas$Soó@9897-1@1@aut,Zimmeter@0-0@2@autEx$Borkh.@0-0@1@aut,,comb. nov.,,1.3,f,potentilla~arenariaminutula,rosaceaepotentilla~arenariaminutula,,wfo-1200092396,,,,,,,Acta Bot. Acad. Sci. Hung. 11: 239 (1965),IPNI Record: 77366618-1,https://www.ipni.org/n/77366618-1
urn:lsid:ipni.org:names:77366619-1,Rosaceae Filipendula hexapetala Gilib. f. hevesiensis Degen ex Soó,(Degen ex Soó),77366484-1,,,11: 239,,,,,,,,,,,,01/08/2025 09:34,05/08/2025 13:29,,,Rosaceae,Filipendula vulgaris f. hevesiensis,Filipendula vulgaris f. hevesiensis,Filipendula,(Degen ex Soó) Soó,,f,f,,,,,hevesiensis,,,,,,,,,,,,,,,,,,,,,,,null:,724945-1,Acta Bot. Acad. Sci. Hung.,urn:lsid:ipni.org:publications:4755-2,1965,1965,,Soó,f.,Acta Bot. Acad. Sci. Hung. 11: 239. 1965 ,,,,,11,vulgaris,Moench,,f,t,,,,,,,Soó@9897-1@1@aut$Soó@9897-1@3@basEx$Degen@2079-1@2@bas,Moench@0-0@1@aut,,comb. nov.,,1.3,f,filipendula~vulgarishevesiensis,rosaceaefilipendula~vulgarishevesiensis,,wfo-1200085923,,,,,,,Acta Bot. Acad. Sci. Hung. 11: 239 (1965),IPNI Record: 77366619-1,https://www.ipni.org/n/77366619-1
urn:lsid:ipni.org:names:77366620-1,Rosaceae Rosa tomentella Léman var. waisbeckeriana Borbás,(Borbás),77366486-1,,,11: 239,,,,,,,,,,,,01/08/2025 09:38,05/08/2025 14:09,,,Rosaceae,Rosa obtusifolia var. waisbeckeriana,Rosa obtusifolia var. waisbeckeriana,Rosa,(Borbás) Soó,,f,f,,,,,waisbeckeriana,,,,,,,,,,,,,,,,,,,,,,,null:,733511-1,Acta Bot. Acad. Sci. Hung.,urn:lsid:ipni.org:publications:4755-2,1965,1965,,Soó,var.,Acta Bot. Acad. Sci. Hung. 11: 239. 1965 ,,,,,11,obtusifolia,Desv.,,f,t,,,,,,,Soó@9897-1@1@aut$Borbás@977-1@2@bas,Desv.@17974-1@1@aut,,comb. nov.,,1.3,f,rosa~obtusifoliawaisbeckeriana,rosaceaerosa~obtusifoliawaisbeckeriana,,wfo-1200087908,,,,,,,Acta Bot. Acad. Sci. Hung. 11: 239 (1965),IPNI Record: 77366620-1,https://www.ipni.org/n/77366620-1
urn:lsid:ipni.org:names:77366621-1,Rosaceae Rosa nitidula Besser f. holubyana Borbás,(Borbás),77366487-1,,,11: 239,,,,,,,,,,,,01/08/2025 09:41,05/08/2025 14:11,,,Rosaceae,Rosa afzeliana var. holubyana,Rosa afzeliana var. holubyana,Rosa,(Borbás) Soó,,f,f,,,,,holubyana,,,,,,,,,,,,,,,,,,,,,,,null:,60473768-2,Acta Bot. Acad. Sci. Hung.,urn:lsid:ipni.org:publications:4755-2,1965,1965,,Soó,var.,Acta Bot. Acad. Sci. Hung. 11: 239. 1965 ,,,,,11,afzeliana,Fr.,,f,t,,,,,,,Borbás@977-1@2@bas$Soó@9897-1@1@aut,Fr.@0-0@1@aut,,comb. nov.,,1.3,f,rosa~afzelianaholubyana,rosaceaerosa~afzelianaholubyana,,wfo-1200086951,,,,,,,Acta Bot. Acad. Sci. Hung. 11: 239 (1965),IPNI Record: 77366621-1,https://www.ipni.org/n/77366621-1
urn:lsid:ipni.org:names:77366624-1,Dryopteridaceae Aspidium hirtum Sw.,(Sw.),17029880-1,,,1: 7,,,,,,,,,,,,02/08/2025 16:58,04/08/2025 06:33,,,Dryopteridaceae,Polystichum hirtum,Polystichum hirtum,Polystichum,(Sw.) Trevis.,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,null:,327121-2,Herb. Crypt. Trevis.,urn:lsid:ipni.org:publications:20058927-1,1851,1851,,Trevis.,spec.,Herb. Crypt. Trevis. 1: 7. 1851 ,,,,,11,hirtum,,,f,t,,,,,,,Sw.@27408-1@2@bas$Trevis.@10816-1@1@aut,,,comb. nov.,,1.3,f,polystichum~hirtum,dryopteridaceaepolystichum~hirtum~,,wfo-1000083526,,,,,,,Herb. Crypt. Trevis. 1: 7 (1851),IPNI Record: 77366624-1,https://www.ipni.org/n/77366624-1
urn:lsid:ipni.org:names:77366625-1,Dryopteridaceae Aspidium nemorosum Willd.,(Willd.),21714-2,,,1: 7,,,,,,,,,,,,02/08/2025 17:00,04/08/2025 06:36,,,Dryopteridaceae,Polystichum nemorosum,Polystichum nemorosum,Polystichum,(Willd.) Trevis.,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,null:,327121-2,Herb. Crypt. Trevis.,urn:lsid:ipni.org:publications:20058927-1,1851,1851,,Trevis.,spec.,Herb. Crypt. Trevis. 1: 7. 1851 ,,,,,11,nemorosum,,,f,t,,,,,,,Trevis.@10816-1@1@aut$Willd.@11692-1@2@bas,,,comb. nov.,,1.3,f,polystichum~nemorosum,dryopteridaceaepolystichum~nemorosum~,,wfo-1000083527,,,,,,,Herb. Crypt. Trevis. 1: 7 (1851),IPNI Record: 77366625-1,https://www.ipni.org/n/77366625-1
urn:lsid:ipni.org:names:77366626-1,Dryopteridaceae Aspidium pauciflorum Kaulf.,(Kaulf.),17033640-1,,,1: 7,,,,,,,,,,,,02/08/2025 17:01,04/08/2025 06:38,,,Dryopteridaceae,Polystichum pauciflorum,Polystichum pauciflorum,Polystichum,(Kaulf.) Trevis.,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,null:,327121-2,Herb. Crypt. Trevis.,urn:lsid:ipni.org:publications:20058927-1,1851,1851,,Trevis.,spec.,Herb. Crypt. Trevis. 1: 7. 1851 ,,,,,11,pauciflorum,,,f,t,,,,,,,Trevis.@10816-1@1@aut$Kaulf.@4673-1@2@bas,,,comb. nov.,,1.3,f,polystichum~pauciflorum,dryopteridaceaepolystichum~pauciflorum~,,wfo-1000083528,,,,,,,Herb. Crypt. Trevis. 1: 7 (1851),IPNI Record: 77366626-1,https://www.ipni.org/n/77366626-1
