id,authors_t,basionym_s_lower,basionym_author_s_lower,lookup_basionym_id,bibliographic_reference_s_lower,bibliographic_type_info_s_lower,reference_collation_s_lower,collection_date_as_text_s_lower,collection_day_1_s_lower,collection_day_2_s_lower,collection_month_1_s_lower,collection_month_2_s_lower,collection_number_s_lower,collection_year_1_s_lower,collection_year_2_s_lower,collector_team_as_text_t,lookup_conserved_against_id,lookup_correction_of_id,date_created_date,date_last_modified_date,distribution_s_lower,east_or_west_s_lower,family_s_lower,taxon_scientific_name_s_lower,taxon_sci_name_suggestion,genus_s_lower,geographic_unit_as_text_s_lower,hybrid_b,hybrid_genus_b,lookup_hybrid_parent_id,hybrid_parents_s_lower,infra_family_s_lower,infra_genus_s_lower,infraspecies_s_lower,lookup_isonym_of_id,lookup_later_homonym_of_id,latitude_degrees_s_lower,latitude_minutes_s_lower,latitude_seconds_s_lower,locality_s_lower,longitude_degrees_s_lower,longitude_minutes_s_lower,longitude_seconds_s_lower,name_status_s_lower,name_status_bot_code_type_s_lower,name_status_editor_type_s_lower,nomenclatural_synonym_s_lower,lookup_nomenclatural_synonym_id,north_or_south_s_lower,original_basionym_s_lower,original_basionym_author_team_s_lower,original_hybrid_parentage_s_lower,original_remarks_s_lower,original_replaced_synonym_s_lower,original_taxon_distribution_s_lower,lookup_orthographic_variant_of_id,other_links_s_lower,lookup_parent_id,publication_s_lower,lookup_publication_id,publication_year_i,publication_year_full_s_lower,publication_year_note_s_lower,publishing_author_s_lower,rank_s_alphanum,reference_t,reference_remarks_s_lower,remarks_s_lower,lookup_replaced_synonym_id,lookup_same_citation_as_id,score_s_lower,species_s_lower,species_author_s_lower,lookup_superfluous_name_of_id,suppressed_b,top_copy_b,lookup_type_id,type_locations_s_lower,type_name_s_lower,type_remarks_s_lower,type_chosen_by_s_lower,type_note_s_lower,detail_author_team_ids,detail_species_author_team_ids,page_as_text_s_lower,citation_type_s_lower,lookup_validation_of_id,version_s_lower,powo_b,sortable,family_taxon_name_sortable,rhakhis_pk,rhakhis_wfo,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_parent,rhakhis_accepted,rhakhis_basionym,name_pub,IPNIURL,IPNILabel
urn:lsid:ipni.org:names:77361371-1,Jeanson,,,,,,173: [3],,10,,12,,PB 91-249,1991,,Patrick Blanc,,,45784.44167,46020.375,"Cameroon (West-Central Tropical Africa, Africa)",E,Araceae,Cercestis blancii,Cercestis blancii,Cercestis,,f,f,,,,,,,,2,37,2,"Région du Sud, Département de l'Océan, Arrondissement de Campo, Camp Akok au nord-est d'Ebodjé",9,54,5,,,,,,N,,,,,,,,,2742-1,Bot. Lett.,urn:lsid:ipni.org:publications:20021248-1,2025,2025 [24 Nov 2025],[24 Nov 2025],Jeanson,spec.,Bot. Lett. 173: [3]. 2025 [24 Nov 2025] [epublished],[epublished],"doi:10.1080/23818107.2025.2563540 [english] Etymology: In honor of Patrick Blanc, discoverer of this species and renowned specialist in tropical understorey plants.",,,11,blancii,,,f,t,,"holotype P P00878114, P00878112, P00878115, P00878113, P00878117, P00878116;isotype YA",,,,,Jeanson@20019011-1@1@aut,,,tax. nov.,,1.2,f,cercestis~blancii,araceaecercestis~blancii~,41,wfo-1000087359,,species,valid,,,,Bot. Lett. 173: [3] (2025),https://www.ipni.org/n/77361371-1,IPNI Record: 77361371-1
urn:lsid:ipni.org:names:77361544-1,"Y.H.Qin, S.X.Yu & W.H.Wu",,,,,,257: 2,,8,,7,,YH2021075,2021,,Yonghua Qin,,,45788.68958,45995.48819,"Guangxi (China Southeast, China, Asia-Temperate)",E,Rubiaceae,Tarenna pendula,Tarenna pendula,Tarenna,,f,f,,,,,,,,23,17,33,"Baise City, Napo County, Defu Nature Reserve, bamboo understory on Baxiong Mountain, 1380 m",105,47,5,,,,,,N,,,,,,,,,327893-2,PhytoKeys,urn:lsid:ipni.org:publications:20011997-1,2025,2025 [3 Jun 2025],[3 Jun 2025],"Y.H.Qin, S.X.Yu & W.H.Wu",spec.,PhytoKeys 257: 2. 2025 [3 Jun 2025] [epublished],[epublished],doi:10.3897/phytokeys.257.148816 [english] Etymology: 'derived from the pendulous inflorescence'.,,,11,pendula,,,f,t,,holotype PE;isotype IBK,,,,,Y.H.Qin@20033063-1@1@aut$S.X.Yu@20014246-1@2@aut$W.H.Wu@20017914-1@3@aut,,,tax. nov.,,1.6,f,tarenna~pendula,rubiaceaetarenna~pendula~,24,wfo-1000087343,,species,valid,,,,PhytoKeys 257: 2 (2025),https://www.ipni.org/n/77361544-1,IPNI Record: 77361544-1
urn:lsid:ipni.org:names:77361738-1,S.Hatt,,,,,,80(4): 7 of 10,,15,,11,,48,2023,,Hatt,,,45791.41389,45993.69861,"Namibia (Southern Africa, Africa)",,Aizoaceae,Lithops gracilidelineata subsp. mopane,Lithops gracilidelineata subsp. mopane,Lithops,,f,f,,,,,mopane,,,,,,"Kunene Region, near Khorixas [precise locality withheld]",,,,,,,,,,,,,,,,,,362439-1,Kew Bull.,urn:lsid:ipni.org:publications:987-2,2025,2025 [2 Dec 2025],[2 Dec 2025],S.Hatt,subsp.,Kew Bull. 80(4): 7 of 10. 2025 [2 Dec 2025] [epublished],[epublished],"doi:10.1007/s12225-025-10274-z [english] Etymology: named after Mopane (Colophospermum mopane (J.Kirk ex Benth.) J.Léonard); this subspecies has only been found amongst Mopane shrubland, a unique habitat for Lithops.",,,11,gracilidelineata,Dinter,,f,t,,holotype WIND,,,,,S.Hatt@20061977-1@1@aut,Dinter@0-0@1@aut,,tax. nov.,,1.3,f,lithops~gracilidelineatamopane,aizoaceaelithops~gracilidelineatamopane,14,wfo-1200116507,,subspecies,valid,,,,Kew Bull. 80(4): 7 of 10 (2025),https://www.ipni.org/n/77361738-1,IPNI Record: 77361738-1
urn:lsid:ipni.org:names:77362645-1,Gâteblé & Karnadi,,,,,,63(6): 1301,,19,,11,,1254,2020,,G.Gâteblé &amp; F.Desmoulin,,,45807.57361,45999.53125,"New Caledonia (Southwestern Pacific, Pacific)",E,Lamiaceae,Oxera sympatrica,Oxera sympatrica,Oxera,,f,f,,,,,,,,22,13,17,"Province Sud: Yaté, Butte de silice, 360 m",166,57,18,,,,,,S,,,,,,,,,41359-1,J. Syst. Evol.,urn:lsid:ipni.org:publications:20009150-1,2025,2025 [21 Aug 2025],[21 Aug 2025],Gâteblé & Karnadi,spec.,J. Syst. Evol. 63(6): 1301. 2025 [21 Aug 2025] [epublished],[epublished],"doi:10.1111/jse.70011 [english] Etymology: the epithet reflects the fact that the new species is found growing together with O. palmatinervia, both liana species were even observed once winding on each other.",,,9,sympatrica,,,f,t,,holotype P;isotype TNS;isotype NSW;isotype VTA;isotype NOU NOU095401; NOU095402; NOU092247;isotype K,,,,,Karnadi@0-0@2@aut$Gâteblé@20027674-1@1@aut,,,tax. nov.,,1.3.1.1,f,oxera~sympatrica,lamiaceaeoxera~sympatrica~,26,wfo-1000087345,,species,valid,,,,J. Syst. Evol. 63(6): 1301 (2025),https://www.ipni.org/n/77362645-1,IPNI Record: 77362645-1
urn:lsid:ipni.org:names:77362660-1,X.X.Wu & Qiang Wang,,,,,,212-108421: 14,,,,,,,,,,,,45809.59028,46022.31319,,,Lamiaceae,Paramicrotoena,Paramicrotoena,Paramicrotoena,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000097-2,Molec. Phylogen. Evol.,urn:lsid:ipni.org:publications:20067-2,2025,2025 [24 Jul 2025],[24 Jul 2025],X.X.Wu & Qiang Wang,gen.,Molec. Phylogen. Evol. 212-108421: 14. 2025 [24 Jul 2025] [epublished],[epublished],doi:10.1016/j.ympev.2025.108421 [english] Etymology: name indicates the morphologically similar to Microtoena.,,,9,,,,f,t,77374454-1,,Paramicrotoena motuoensis X.X. Wu & Q. Wang,,,,Qiang Wang@20027399-1@2@aut$X.X.Wu@20082076-1@1@aut,,,tax. nov.,,1.2,f,paramicrotoena,lamiaceaeparamicrotoena~~~,45,wfo-4100006367,,genus,valid,,,,Molec. Phylogen. Evol. 212-108421: 14 (2025),https://www.ipni.org/n/77362660-1,IPNI Record: 77362660-1
urn:lsid:ipni.org:names:77363671-1,"A.Sultan, Jamzad & Amjad Khan",,,,,,80(4): [2 of 18],,7,,3,,AK-230661,2023,,Amjad Khan &amp; Rifat Ullah Khan,,,45825.77639,46006.40347,"Pakistan (Indian Subcontinent, Asia-Tropical)",E,Lamiaceae,Nepeta gossypina,Nepeta gossypina,Nepeta,,f,f,,,,,,,,30,37,19,"Balochistan: Killa [Qilla] Saifullah Distr., Akhtarzai, Adwala Mts, 1926 m",68,30,44,,,,,,N,,,,,,,,,328179-2,Kew Bull.,urn:lsid:ipni.org:publications:987-2,2025,2025 [11 Dec 2025],[11 Dec 2025],"A.Sultan, Jamzad & Amjad Khan",spec.,Kew Bull. 80(4): [2 of 18]. 2025 [11 Dec 2025] [epublished],[epublished],doi:10.1007/s12225-025-10267-y [english] Etymology: 'The species is named for the villous-lanate indumentum'.,,,11,gossypina,,,f,t,,holotype RAW RAW103204,,,,,A.Sultan@20046601-1@1@aut$Jamzad@14750-1@2@aut$Amjad Khan@20067291-1@3@aut,,,tax. nov.,,1.3,f,nepeta~gossypina,lamiaceaenepeta~gossypina~,33,wfo-1000087352,,species,valid,,,,Kew Bull. 80(4): [2 of 18] (2025),https://www.ipni.org/n/77363671-1,IPNI Record: 77363671-1
urn:lsid:ipni.org:names:77363672-1,"A.Sultan, R.Amin & Amjad Khan",,,,,,80(4): [11 of 18],,20,,7,,RA-232011,2023,,Roohul Amin,,,45825.7875,46006.40347,"Pakistan (Indian Subcontinent, Asia-Tropical)",E,Lamiaceae,Nepeta kalamica,Nepeta kalamica,Nepeta,,f,f,,,,,,,,35,28,18,"Khyber Pakhtunkhwa, Swat Distr., Kalam, Deesan Hills above Kalam, 2507 m",72,34,13,,,,,,N,,,,,,,,,328179-2,Kew Bull.,urn:lsid:ipni.org:publications:987-2,2025,2025 [11 Dec 2025],[11 Dec 2025],"A.Sultan, R.Amin & Amjad Khan",spec.,Kew Bull. 80(4): [11 of 18]. 2025 [11 Dec 2025] [epublished],[epublished],"doi:10.1007/s12225-025-10267-y [english] Etymology: 'The plant is named after Kalam, where the species was found'.",,,11,kalamica,,,f,t,,holotype RAW RAW103206,,,,,R.Amin@20095039-1@2@aut$Amjad Khan@20067291-1@3@aut$A.Sultan@20046601-1@1@aut,,,tax. nov.,,1.4,f,nepeta~kalamica,lamiaceaenepeta~kalamica~,34,wfo-1000087353,,species,valid,,,,Kew Bull. 80(4): [11 of 18] (2025),https://www.ipni.org/n/77363672-1,IPNI Record: 77363672-1
urn:lsid:ipni.org:names:77364921-1,D.J.N.Hind,,,,,,80(4): [3 of 22],,16,,3,,646,1957,,J.B.Phipps,,,45841.82431,46020.38333,"Zimbabwe (South Tropical Africa, Africa)",,Asteraceae,Lopholaena phippsii,Lopholaena phippsii,Lopholaena,,f,f,,,,,,,,,,,"Melsetter. Chimanimani. Point 71, 2438 m",,,,,,,,,,,,,,,,,,9869-1,Kew Bull.,urn:lsid:ipni.org:publications:987-2,2025,2025 [20 Dec 2025],[20 Dec 2025],D.J.N.Hind,spec.,Kew Bull. 80(4): [3 of 22]. 2025 [20 Dec 2025] [epublished],[epublished],"doi:10.1007/s12225-025-10283-y [english] Etymology: 'The specific epithet phippsii honours the collector, James Bird Phipps (1934 –), the Canadian Botanist who collected the type material'.",,,11,phippsii,,,f,t,,holotype K 000374763;isotype SRGH CAS-SRGH 28776,,,,,D.J.N.Hind@14322-1@1@aut,,,tax. nov.,,1.3,f,lopholaena~phippsii,asteraceaelopholaena~phippsii~,42,wfo-1000087360,,species,valid,,,,Kew Bull. 80(4): [3 of 22] (2025),https://www.ipni.org/n/77364921-1,IPNI Record: 77364921-1
urn:lsid:ipni.org:names:77366056-1,(Boiss. & Reut.) Mart.-Sagarra & Devesa,Poaceae Nardurus montanus Boiss. & Reut.,(Boiss. & Reut.),409282-1,,,2: 606,,,,,,,,,,,,45859.84653,45992.49097,,,Poaceae,Festuca maritima subsp. montana,Festuca maritima subsp. montana,Festuca,,f,f,,,,,montana,,,,,,,,,,,,,,,,,,,,,,,null:,403059-1,Fl. Vasc. Prov. Córdoba,urn:lsid:ipni.org:publications:20061676-1,2025,2025 [16 Jul 2025],[16 Jul 2025],Mart.-Sagarra & Devesa,subsp.,Fl. Vasc. Prov. Córdoba 2: 606. 2025 [16 Jul 2025] ,,Name added via registration. Protologue not seen by the IPNI editors. If you have access to the protologue please email a copy to us via the 'contact us' link at the top of the page.,,,11,maritima,L.,,f,t,,,,,,,Reut.@8313-1@4@bas$Boiss.@16284-1@3@bas$Devesa@14666-1@2@aut$Mart.-Sagarra@20040604-1@1@aut,Huds.@4198-1@2@bas$K.Koch@4899-1@1@aut,,comb. et stat. nov.,,1.1.1.2,f,festuca~maritimamontana,poaceaefestuca~maritimamontana,2,wfo-1200116499,,subspecies,valid,,,,Fl. Vasc. Prov. Córdoba 2: 606 (2025),https://www.ipni.org/n/77366056-1,IPNI Record: 77366056-1
urn:lsid:ipni.org:names:77366057-1,"(Vít, Douda & Mandák) Devesa","Betulaceae Alnus lusitanica Vít, Douda & Mandák","(Vít, Douda & Mandák)",77164770-1,,,2: 858,,,,,,,,,,,,45859.84861,45992.49444,,,Betulaceae,Alnus glutinosa subsp. lusitanica,Alnus glutinosa subsp. lusitanica,Alnus,,f,f,,,,,lusitanica,,,,,,,,,,,,,,,,,,,,,,,null:,30036759-2,Fl. Vasc. Prov. Córdoba,urn:lsid:ipni.org:publications:20061676-1,2025,2025 [16 Jul 2025],[16 Jul 2025],Devesa,subsp.,Fl. Vasc. Prov. Córdoba 2: 858. 2025 [16 Jul 2025] ,,Name added via registration. Protologue not seen by the IPNI editors. If you have access to the protologue please email a copy to us via the 'contact us' link at the top of the page.,,,11,glutinosa,(L.) Gaertn.,,f,t,,,,,,,Douda@20032159-1@3@bas$Mandák@20032160-1@4@bas$Devesa@14666-1@1@aut$Vít@20013478-1@2@bas,L.@0-0@2@bas$Gaertn.@0-0@1@aut,,comb. et stat. nov.,,1.1.1.2,f,alnus~glutinosalusitanica,betulaceaealnus~glutinosalusitanica,5,wfo-1200116504,,subspecies,valid,,,,Fl. Vasc. Prov. Córdoba 2: 858 (2025),https://www.ipni.org/n/77366057-1,IPNI Record: 77366057-1
