id,authors_t,basionym_s_lower,basionym_author_s_lower,lookup_basionym_id,bibliographic_reference_s_lower,bibliographic_type_info_s_lower,reference_collation_s_lower,collection_date_as_text_s_lower,collection_day_1_s_lower,collection_day_2_s_lower,collection_month_1_s_lower,collection_month_2_s_lower,collection_number_s_lower,collection_year_1_s_lower,collection_year_2_s_lower,collector_team_as_text_t,lookup_conserved_against_id,lookup_correction_of_id,date_created_date,date_last_modified_date,distribution_s_lower,east_or_west_s_lower,family_s_lower,taxon_scientific_name_s_lower,taxon_sci_name_suggestion,genus_s_lower,geographic_unit_as_text_s_lower,hybrid_b,hybrid_genus_b,lookup_hybrid_parent_id,hybrid_parents_s_lower,infra_family_s_lower,infra_genus_s_lower,infraspecies_s_lower,lookup_isonym_of_id,lookup_later_homonym_of_id,latitude_degrees_s_lower,latitude_minutes_s_lower,latitude_seconds_s_lower,locality_s_lower,longitude_degrees_s_lower,longitude_minutes_s_lower,longitude_seconds_s_lower,name_status_s_lower,name_status_bot_code_type_s_lower,name_status_editor_type_s_lower,nomenclatural_synonym_s_lower,lookup_nomenclatural_synonym_id,north_or_south_s_lower,original_basionym_s_lower,original_basionym_author_team_s_lower,original_hybrid_parentage_s_lower,original_remarks_s_lower,original_replaced_synonym_s_lower,original_taxon_distribution_s_lower,lookup_orthographic_variant_of_id,other_links_s_lower,lookup_parent_id,publication_s_lower,lookup_publication_id,publication_year_i,publication_year_full_s_lower,publication_year_note_s_lower,publishing_author_s_lower,rank_s_alphanum,reference_t,reference_remarks_s_lower,remarks_s_lower,lookup_replaced_synonym_id,lookup_same_citation_as_id,score_s_lower,species_s_lower,species_author_s_lower,lookup_superfluous_name_of_id,suppressed_b,top_copy_b,lookup_type_id,type_locations_s_lower,type_name_s_lower,type_remarks_s_lower,type_chosen_by_s_lower,type_note_s_lower,detail_author_team_ids,detail_species_author_team_ids,page_as_text_s_lower,citation_type_s_lower,lookup_validation_of_id,version_s_lower,powo_b,sortable,family_taxon_name_sortable,rhakhis_pk,rhakhis_wfo,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_parent,rhakhis_accepted,rhakhis_basionym
urn:lsid:ipni.org:names:77364876-1,Triana,,,,,,1865: 457,,,,,,,,,,,,01/07/2025 03:46,01/07/2025 15:43,,,Melastomataceae,trib. Astronieae,trib. Astronieae,,,f,f,,,astronieae,,,,,,,,,,,,,,,,,,,,,,,,,,30374374-2,Bull. Congr. Internatl. Bot. Hort. Amsterdam,urn:lsid:ipni.org:publications:20033395-1,1866,1866,,Triana,trib.,Bull. Congr. Internatl. Bot. Hort. Amsterdam 1865: 457. 1866 ,,Name added via registration. Protologue not seen by the IPNI editors.,,,8,,,,f,t,,,Astronia Blume (1827).,,,,Triana@10818-1@1@aut,,,tax. nov.,,1.4,f,melastomataceaeastronieae,melastomataceae~~~~,1,wfo-4100003668,,tribe,,,,
urn:lsid:ipni.org:names:77364878-1,Triana,,,,,,1865: 457,,,,,,,,,,,,01/07/2025 03:56,01/07/2025 15:42,,,Melastomataceae,trib. Merianieae,trib. Merianieae,,,f,f,,,merianieae,,,,,,,,,,,,,,,,,,,,,,,,,,30374374-2,Bull. Congr. Internatl. Bot. Hort. Amsterdam,urn:lsid:ipni.org:publications:20033395-1,1866,1866,,Triana,trib.,Bull. Congr. Internatl. Bot. Hort. Amsterdam 1865: 457. 1866 ,,Name added via registration. Protologue not seen by the IPNI editors.,,,8,,,,f,t,,,"Meriania Sw., nom. cons. (1797).",,,,Triana@10818-1@1@aut,,,tax. nov.,,1.4,f,melastomataceaemerianieae,melastomataceae~~~~,2,wfo-4100003673,,tribe,,,,
urn:lsid:ipni.org:names:77364879-1,Triana,,,,,,1865: 457,,,,,,,,,,,,01/07/2025 03:58,01/07/2025 15:45,,,Melastomataceae,trib. Bertolonieae,trib. Bertolonieae,,,f,f,,,bertolonieae,,,,,,,,,,,,,,,,,,,,,,,,,,30374374-2,Bull. Congr. Internatl. Bot. Hort. Amsterdam,urn:lsid:ipni.org:publications:20033395-1,1866,1866,,Triana,trib.,"Bull. Congr. Internatl. Bot. Hort. Amsterdam 1865: 457. 1866 , as 'Bertoloniceae'",", as 'Bertoloniceae'",Name added via registration. Protologue not seen by the IPNI editors.,,,8,,,,f,t,,,Bertolonia Raddi (1820).,,,,Triana@10818-1@1@aut,,,tax. nov.,,1.3,f,melastomataceaebertolonieae,melastomataceae~~~~,3,wfo-4100003669,,tribe,,,,
urn:lsid:ipni.org:names:77364880-1,Gleason,,,,,,56(2): 98,,,,,,,,,,,,01/07/2025 04:01,01/07/2025 15:50,,,Melastomataceae,trib. Cyphostyleae,trib. Cyphostyleae,,,f,f,,,cyphostyleae,,,,,,,,,,,,,,,,,,,,,,,,,,30374374-2,Bull. Torrey Bot. Club,urn:lsid:ipni.org:publications:586-2,1929,1929 [Feb 1929],[Feb 1929],Gleason,trib.,Bull. Torrey Bot. Club 56(2): 98. 1929 [Feb 1929] ,,English descr.,,,8,,,,f,t,,,,,,,Gleason@3190-1@1@aut,,,tax. nov.,,1.3,f,melastomataceaecyphostyleae,melastomataceae~~~~,4,wfo-4100003670,,tribe,,,,
urn:lsid:ipni.org:names:77364881-1,Naudin,,,,,,"sér. 3, 15: 58",,,,,,,,,,,,01/07/2025 04:10,01/07/2025 15:54,,,Melastomataceae,trib. Pyramieae,trib. Pyramieae,,,f,f,,,pyramieae,,,,,,,,,,,,,,,,,,,,,,,,,,30374374-2,"Ann. Sci. Nat., Bot.",urn:lsid:ipni.org:publications:525-2,1851,1851,,Naudin,trib.,"Ann. Sci. Nat., Bot. sér. 3, 15: 58. 1851 , as 'Pyramiales'",", as 'Pyramiales'",,,,8,,,,f,t,,,Pyramia Cham. (1835).,,,,Naudin@6867-1@1@aut,,,tax. nov.,,1.3,f,melastomataceaepyramieae,melastomataceae~~~~,5,wfo-4100003677,,tribe,,,,
urn:lsid:ipni.org:names:77364882-1,Triana,,,,,,1865: 457,,,,,,,,,,,,01/07/2025 04:12,01/07/2025 15:57,,,Melastomataceae,trib. Dissochaeteae,trib. Dissochaeteae,,,f,f,,,dissochaeteae,,,,,,,,,,,,,,,,,,,,,,,,,,30374374-2,Bull. Congr. Internatl. Bot. Hort. Amsterdam,urn:lsid:ipni.org:publications:20033395-1,1866,1866,,Triana,trib.,Bull. Congr. Internatl. Bot. Hort. Amsterdam 1865: 457. 1866 ,,Name added via registration. Protologue not seen by the IPNI editors.,,,8,,,,f,t,,,Dissochaeta Blume (1831).,,,,Triana@10818-1@1@aut,,,tax. nov.,,1.3,f,melastomataceaedissochaeteae,melastomataceae~~~~,6,wfo-4100001879,,tribe,,,,
urn:lsid:ipni.org:names:77364883-1,DC.,,,,,,3: 114,,,,,,,,,,,,01/07/2025 04:15,01/07/2025 16:01,,,Melastomataceae,trib. Rhexieae,trib. Rhexieae,,,f,f,,,rhexieae,,,,,,,,,,,,,,,,,,,,,,,,,,30374374-2,Prodr. [A. P. de Candolle],urn:lsid:ipni.org:publications:1051-2,1828,1828 [Mar 1828],[Mar 1828],DC.,trib.,Prodr. [A. P. de Candolle] 3: 114. 1828 [Mar 1828] ,,,,,8,,,,f,t,,,Rhexia L. (1753).,,,,DC.@16855-1@1@aut,,,tax. nov.,,1.3,f,melastomataceaerhexieae,melastomataceae~~~~,7,wfo-4100003675,,tribe,,,,
urn:lsid:ipni.org:names:77364884-1,Arana & M.G.Romagnoli,,,,,,13(1): 155,,5,,12,,29,2023,,"G.Romagnoli, P.Albornoz &amp; M.Arana",,,01/07/2025 04:18,03/07/2025 10:01,"Tucumán (Argentina Northwest, Southern South America, Southern America)",W,Polypodiaceae,Pleopeltis × albornoziana,Pleopeltis × albornoziana,Pleopeltis,,t,f,"17448650-1,77067051-1",(Pleopeltis macrocarpa (Bory ex Willd.) Kaulf. × Pleopeltis tweedieana (Hook.) A.R.Sm.),,,,,,27,2,55,"Depto. Monteros, Río Los Sosa, 1065 m",65,40,2,,,,,,S,,,,,,,,,330085-2,Darwiniana,urn:lsid:ipni.org:publications:900-2,2025,2025 [26 Jun 2025],[26 Jun 2025],Arana & M.G.Romagnoli,spec.,"Darwiniana 13(1): 155. 2025 [26 Jun 2025] , as 'albornozeana' [epublished]",", as 'albornozeana' [epublished]",doi:10.14522/darwiniana.2025.131.1258 [english] Etymology: 'The hybrid is dedicated in honour to Dr. Patricia Liliana Albornoz (FML-LIL)'.,,,11,albornoziana,,,f,t,,holotype LIL 618341,,,,,Arana@20027395-1@1@aut$M.G.Romagnoli@20089564-1@2@aut,,,tax. nov.,,1.5,f,pleopeltis~albornoziana,polypodiaceaepleopeltis~albornoziana~,8,wfo-1000083037,,species,,,,
urn:lsid:ipni.org:names:77364885-1,Jacq.-Fél. ex Penneys,,,,,,151,,,,,,,,,,,,01/07/2025 04:22,01/07/2025 08:43,,,Melastomataceae,trib. Feliciadamieae,trib. Feliciadamieae,,,f,f,,,feliciadamieae,,,,,,,,,,,,,,,,,,,,,,,,,,30374374-2,Syst. Evol. Ecol. Melastom.,urn:lsid:ipni.org:publications:20032235-1,2022,2022 [21 Jul 2022],[21 Jul 2022],Jacq.-Fél. ex Penneys,trib.,Syst. Evol. Ecol. Melastom. 151. 2022 [21 Jul 2022] ,,[english],,,8,,,,f,t,,,"Feliciadamia Bullock (Adamea Jacq.-Fél. 1951, non Adamia Wall. 1826).",,,,Jacq.-Fél.@4385-1@1@aut$Penneys@20002510-2@2@autEx,,,tax. nov.,,1.2,f,melastomataceaefeliciadamieae,melastomataceae~~~~,9,wfo-4100003678,,tribe,,,,
urn:lsid:ipni.org:names:77364886-1,Hook.,,,,,,5: 276,,,,,,,,,,,,01/07/2025 04:37,01/07/2025 16:04,,,Pteridaceae,Acrostichum lanceolatum var. normale,Acrostichum lanceolatum var. normale,Acrostichum,,f,f,,,,,normale,,,,,,,,,,,,,,,,,,,,,,,,17003990-1,Sp. Fil.,urn:lsid:ipni.org:publications:7152-2,1864,1864,,Hook.,var.,Sp. Fil. 5: 276. 1864 ,,,,,8,lanceolatum,L.,,f,t,,,,,,,Hook.@4086-1@1@aut,L.@0-0@0@aut,,tax. nov.,,1.3,f,acrostichum~lanceolatumnormale,pteridaceaeacrostichum~lanceolatumnormale,10,wfo-1200113899,,variety,,,,
