id,authors_t,basionym_s_lower,basionym_author_s_lower,lookup_basionym_id,bibliographic_reference_s_lower,bibliographic_type_info_s_lower,reference_collation_s_lower,collection_date_as_text_s_lower,collection_day_1_s_lower,collection_day_2_s_lower,collection_month_1_s_lower,collection_month_2_s_lower,collection_number_s_lower,collection_year_1_s_lower,collection_year_2_s_lower,collector_team_as_text_t,lookup_conserved_against_id,lookup_correction_of_id,date_created_date,date_last_modified_date,distribution_s_lower,east_or_west_s_lower,family_s_lower,taxon_scientific_name_s_lower,taxon_sci_name_suggestion,genus_s_lower,geographic_unit_as_text_s_lower,hybrid_b,hybrid_genus_b,lookup_hybrid_parent_id,hybrid_parents_s_lower,infra_family_s_lower,infra_genus_s_lower,infraspecies_s_lower,lookup_isonym_of_id,lookup_later_homonym_of_id,latitude_degrees_s_lower,latitude_minutes_s_lower,latitude_seconds_s_lower,locality_s_lower,longitude_degrees_s_lower,longitude_minutes_s_lower,longitude_seconds_s_lower,name_status_s_lower,name_status_bot_code_type_s_lower,name_status_editor_type_s_lower,nomenclatural_synonym_s_lower,lookup_nomenclatural_synonym_id,north_or_south_s_lower,original_basionym_s_lower,original_basionym_author_team_s_lower,original_hybrid_parentage_s_lower,original_remarks_s_lower,original_replaced_synonym_s_lower,original_taxon_distribution_s_lower,lookup_orthographic_variant_of_id,other_links_s_lower,lookup_parent_id,publication_s_lower,lookup_publication_id,publication_year_i,publication_year_full_s_lower,publication_year_note_s_lower,publishing_author_s_lower,rank_s_alphanum,reference_t,reference_remarks_s_lower,remarks_s_lower,lookup_replaced_synonym_id,lookup_same_citation_as_id,score_s_lower,species_s_lower,species_author_s_lower,lookup_superfluous_name_of_id,suppressed_b,top_copy_b,lookup_type_id,type_locations_s_lower,type_name_s_lower,type_remarks_s_lower,type_chosen_by_s_lower,type_note_s_lower,detail_author_team_ids,detail_species_author_team_ids,page_as_text_s_lower,citation_type_s_lower,lookup_validation_of_id,version_s_lower,powo_b,sortable,family_taxon_name_sortable,rhakhis_pk,rhakhis_wfo,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_parent,rhakhis_accepted,rhakhis_basionym
urn:lsid:ipni.org:names:77362647-1,R.Kr.Singh,,,,,,9(2): 45,,,,,,,,,,,,01/06/2025 10:12,02/06/2025 10:14,,,Euphorbiaceae,Croton lallanii,Croton lallanii,Croton,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,null:,327708-2,J. Biodivers. Conservation,urn:lsid:ipni.org:publications:20042568-1,2025,2025 [5 May 2025],[5 May 2025],R.Kr.Singh,spec.,J. Biodivers. Conservation 9(2): 45. 2025 [5 May 2025] [epublished],[epublished],"doi:10.5281/zenodo.15331461 Etymology: the specific epithet is named after the author's late father, Shri Lallan Singh.",342274-1,,9,lallanii,,,f,t,,,,,,,R.Kr.Singh@20015808-1@1@aut,,,nom. nov.,,1.3,f,croton~lallanii,euphorbiaceaecroton~lallanii~,1,wfo-1000082018,,species,,,,
urn:lsid:ipni.org:names:77362648-1,R.Kr.Singh,,,,,,9(2): 45,,,,,,,,,,,,01/06/2025 10:16,02/06/2025 10:16,,,Euphorbiaceae,Croton vishwanathii,Croton vishwanathii,Croton,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327708-2,J. Biodivers. Conservation,urn:lsid:ipni.org:publications:20042568-1,2025,2025 [5 May 2025],[5 May 2025],R.Kr.Singh,spec.,J. Biodivers. Conservation 9(2): 45. 2025 [5 May 2025] [epublished],[epublished],doi:10.5281/zenodo.15331461,77214613-1,,9,vishwanathii,,,f,t,,,,,,,R.Kr.Singh@20015808-1@1@aut,,,nom. nov.,,1.1.1.1,f,croton~vishwanathii,euphorbiaceaecroton~vishwanathii~,2,wfo-1000082019,,species,,,,
urn:lsid:ipni.org:names:77362649-1,R.Kr.Singh,,,,,,9(2): 45,,,,,,,,,,,,01/06/2025 10:18,02/06/2025 10:18,,,Euphorbiaceae,Euphorbia charitontcevii,Euphorbia charitontcevii,Euphorbia,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,null:,327729-2,J. Biodivers. Conservation,urn:lsid:ipni.org:publications:20042568-1,2025,2025 [5 May 2025],[5 May 2025],R.Kr.Singh,spec.,J. Biodivers. Conservation 9(2): 45. 2025 [5 May 2025] [epublished,[epublished,doi:10.5281/zenodo.15331461,77320904-1,,9,charitontcevii,,,f,t,,,,,,,R.Kr.Singh@20015808-1@1@aut,,,nom. nov.,,1.3,f,euphorbia~charitontcevii,euphorbiaceaeeuphorbia~charitontcevii~,3,wfo-1000082020,,species,,,,
urn:lsid:ipni.org:names:77362650-1,(N.E.Br.) R.Kr.Singh,Euphorbiaceae Synadenium compactum N.E.Br.,(N.E.Br.),356702-1,,,9(2): 46,,,,,,,,,,,,01/06/2025 10:22,02/06/2025 10:20,,,Euphorbiaceae,Euphorbia compacta,Euphorbia compacta,Euphorbia,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,null:,327729-2,J. Biodivers. Conservation,urn:lsid:ipni.org:publications:20042568-1,2025,2025 [5 May 2025],[5 May 2025],R.Kr.Singh,spec.,J. Biodivers. Conservation 9(2): 46. 2025 [5 May 2025] [epublished],[epublished],doi:10.5281/zenodo.15331461,,,11,compacta,,,f,t,,,,,,,N.E.Br.@1191-1@2@bas$R.Kr.Singh@20015808-1@1@aut,,,comb. nov.,,1.3,f,euphorbia~compacta,euphorbiaceaeeuphorbia~compacta~,4,wfo-1000082021,,species,,,,
urn:lsid:ipni.org:names:77362651-1,(S.Carter) R.Kr.Singh,Euphorbiaceae Synadenium compactum N.E.Br. var. rubrum S.Carter,(S.Carter),950033-1,,,9(2): 46,,,,,,,,,,,,01/06/2025 10:25,02/06/2025 10:26,,,Euphorbiaceae,Euphorbia compacta var. rubra,Euphorbia compacta var. rubra,Euphorbia,,f,f,,,,,rubra,,,,,,,,,,,,,,,,,,,,,,,null:,77362650-1,J. Biodivers. Conservation,urn:lsid:ipni.org:publications:20042568-1,2025,2025 [5 May 2025],[5 May 2025],R.Kr.Singh,var.,J. Biodivers. Conservation 9(2): 46. 2025 [5 May 2025] [epublished],[epublished],doi:10.5281/zenodo.15331461,,,11,compacta,(N.E.Br.) R.Kr.Singh,,f,t,,,,,,,R.Kr.Singh@20015808-1@1@aut$S.Carter@1428-1@2@bas,N.E.Br.@0-0@2@bas$R.Kr.Singh@0-0@1@aut,,comb. nov.,,1.3,f,euphorbia~compactarubra,euphorbiaceaeeuphorbia~compactarubra,5,wfo-1200113355,,variety,,,,
urn:lsid:ipni.org:names:77362652-1,R.Kr.Singh,,,,,,9(2): 46,,,,,,,,,,,,01/06/2025 10:29,02/06/2025 10:29,,,Euphorbiaceae,Euphorbia sangeetae,Euphorbia sangeetae,Euphorbia,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,null:,327729-2,J. Biodivers. Conservation,urn:lsid:ipni.org:publications:20042568-1,2025,2025 [5 May 2025],[5 May 2025],R.Kr.Singh,spec.,J. Biodivers. Conservation 9(2): 46. 2025 [5 May 2025] [epublished],[epublished],doi:10.5281/zenodo.15331461,356462-1,,9,sangeetae,,,f,t,,,,,,,R.Kr.Singh@20015808-1@1@aut,,,nom. nov.,,1.3,f,euphorbia~sangeetae,euphorbiaceaeeuphorbia~sangeetae~,6,wfo-1000082022,,species,,,,
urn:lsid:ipni.org:names:77362653-1,(S.Carter) R.Kr.Singh,Euphorbiaceae Monadenium elegans S.Carter,(S.Carter),933029-1,,,9(2): 61,,,,,,,,,,,,01/06/2025 10:34,02/06/2025 10:33,,,Euphorbiaceae,Euphorbia sangeetae var. elegans,Euphorbia sangeetae var. elegans,Euphorbia,,f,f,,,,,elegans,,,,,,,,,,,,,,,,,,,,,,,null:,77362652-1,J. Biodivers. Conservation,urn:lsid:ipni.org:publications:20042568-1,2025,2025 [5 May 2025],[5 May 2025],R.Kr.Singh,var.,J. Biodivers. Conservation 9(2): 61. 2025 [5 May 2025] [epublished],[epublished],doi:10.5281/zenodo.15331461,,,11,sangeetae,R.Kr.Singh,,f,t,,,,,,,R.Kr.Singh@20015808-1@1@aut$S.Carter@1428-1@2@bas,S.Carter@1428-1@2@bas$R.Kr.Singh@20015808-1@1@aut,,comb. et stat. nov.,,1.3,f,euphorbia~sangeetaeelegans,euphorbiaceaeeuphorbia~sangeetaeelegans,7,wfo-1200113356,,variety,,,,
urn:lsid:ipni.org:names:77362654-1,(Miq.) Sleumer ex R.Kr.Singh & Sanjeet Kumar,Euphorbiaceae Rottlera zollingeriana Miq.,(Miq.),355709-1,,,9(2): 66,,,,,,,,,,,,01/06/2025 10:40,02/06/2025 10:38,,,Flacourtiaceae,Xylosma zollingeriana,Xylosma zollingeriana,Xylosma,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,null:,332071-2,J. Biodivers. Conservation,urn:lsid:ipni.org:publications:20042568-1,2025,2025 [5 May 2025],[5 May 2025],Sleumer ex R.Kr.Singh & Sanjeet Kumar,spec.,J. Biodivers. Conservation 9(2): 66. 2025 [5 May 2025] [epublished],[epublished],doi:10.5281/zenodo.15331495,,,11,zollingeriana,,,f,t,,,,,,,Sanjeet Kumar@20042601-1@3@autEx$Miq.@6509-1@4@bas$Sleumer@9742-1@1@aut$R.Kr.Singh@20015808-1@2@autEx,,,comb. nov.,,1.3,f,xylosma~zollingeriana,flacourtiaceaexylosma~zollingeriana~,8,wfo-1000082023,,species,,,,
urn:lsid:ipni.org:names:77362655-1,(C.Chr. & Tardieu) R.Kr.Singh,Marattiaceae Archangiopteris cadierei C.Chr. & Tardieu,(C.Chr. & Tardieu),17370060-1,,,9(2): 68,,,,,,,,,,,,01/06/2025 10:44,02/06/2025 10:01,,,Marattiaceae,Angiopteris cadierei,Angiopteris cadierei,Angiopteris,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,null:,331099-2,J. Biodivers. Conservation,urn:lsid:ipni.org:publications:20042568-1,2025,2025 [5 May 2025],[5 May 2025],R.Kr.Singh,spec.,J. Biodivers. Conservation 9(2): 68. 2025 [5 May 2025] [epublished],[epublished],doi:10.5281/zenodo.15331502,,,11,cadierei,,,f,t,,,,,,,Tardieu@12916-1@3@bas$R.Kr.Singh@20015808-1@1@aut$C.Chr.@1629-1@2@bas,,,comb. nov.,,1.3,f,angiopteris~cadierei,marattiaceaeangiopteris~cadierei~,9,wfo-1000082788,,species,,,,
urn:lsid:ipni.org:names:77362656-1,(S.K.Wu & L.K.Phan) R.Kr.Singh & V.K.Rawat,Dryopteridaceae Kontumia heterophylla S.K.Wu & L.K.Phan,(S.K.Wu & L.K.Phan),60438498-2,,,9(2): 74,,,,,,,,,,,,01/06/2025 11:20,02/06/2025 10:07,,,Polypodiaceae,Leptochilus heterophyllus,Leptochilus heterophyllus,Leptochilus,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,null:,17132410-1,J. Biodivers. Conservation,urn:lsid:ipni.org:publications:20042568-1,2025,2025 [5 May 2025],[5 May 2025],R.Kr.Singh & V.K.Rawat,spec.,J. Biodivers. Conservation 9(2): 74. 2025 [5 May 2025] [epublished],[epublished],doi:10.5281/zenodo.15331502,,,11,heterophyllus,,,f,t,,,,,,,S.K.Wu@13835-1@3@bas$L.K.Phan@36839-1@4@bas$V.K.Rawat@20015702-1@2@aut$R.Kr.Singh@20015808-1@1@aut,,,comb. nov.,,1.3,f,leptochilus~heterophyllus,polypodiaceaeleptochilus~heterophyllus~,10,wfo-1000082800,,species,,,,
