id,authors_t,basionym_s_lower,basionym_author_s_lower,lookup_basionym_id,bibliographic_reference_s_lower,bibliographic_type_info_s_lower,reference_collation_s_lower,collection_date_as_text_s_lower,collection_day_1_s_lower,collection_day_2_s_lower,collection_month_1_s_lower,collection_month_2_s_lower,collection_number_s_lower,collection_year_1_s_lower,collection_year_2_s_lower,collector_team_as_text_t,lookup_conserved_against_id,lookup_correction_of_id,date_created_date,date_last_modified_date,distribution_s_lower,east_or_west_s_lower,family_s_lower,taxon_scientific_name_s_lower,taxon_sci_name_suggestion,genus_s_lower,geographic_unit_as_text_s_lower,hybrid_b,hybrid_genus_b,lookup_hybrid_parent_id,hybrid_parents_s_lower,infra_family_s_lower,infra_genus_s_lower,infraspecies_s_lower,lookup_isonym_of_id,lookup_later_homonym_of_id,latitude_degrees_s_lower,latitude_minutes_s_lower,latitude_seconds_s_lower,locality_s_lower,longitude_degrees_s_lower,longitude_minutes_s_lower,longitude_seconds_s_lower,name_status_s_lower,name_status_bot_code_type_s_lower,name_status_editor_type_s_lower,nomenclatural_synonym_s_lower,lookup_nomenclatural_synonym_id,north_or_south_s_lower,original_basionym_s_lower,original_basionym_author_team_s_lower,original_hybrid_parentage_s_lower,original_remarks_s_lower,original_replaced_synonym_s_lower,original_taxon_distribution_s_lower,lookup_orthographic_variant_of_id,other_links_s_lower,lookup_parent_id,publication_s_lower,lookup_publication_id,publication_year_i,publication_year_full_s_lower,publication_year_note_s_lower,publishing_author_s_lower,rank_s_alphanum,reference_t,reference_remarks_s_lower,remarks_s_lower,lookup_replaced_synonym_id,lookup_same_citation_as_id,score_s_lower,species_s_lower,species_author_s_lower,lookup_superfluous_name_of_id,suppressed_b,top_copy_b,lookup_type_id,type_locations_s_lower,type_name_s_lower,type_remarks_s_lower,type_chosen_by_s_lower,type_note_s_lower,detail_author_team_ids,detail_species_author_team_ids,page_as_text_s_lower,citation_type_s_lower,lookup_validation_of_id,version_s_lower,powo_b,sortable,family_taxon_name_sortable,rhakhis_pk,rhakhis_wfo,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_parent,rhakhis_accepted,rhakhis_basionym,New,IPNI_PUB,ipniurl,ipniLabel
urn:lsid:ipni.org:names:77371635-1,(Sch.Bip.) Batt.,Asteraceae Phagnalon purpurascens Sch.Bip.,(Sch.Bip.),237590-1,,,1(3): 444,,,,,,,,,,,,05/11/2025 08:43,05/11/2025 08:43,,,Asteraceae,Phagnalon saxatile subsp. purpurascens,Phagnalon saxatile subsp. purpurascens,Phagnalon,,f,f,,,,,purpurascens,,,,,,,,,,,,,,,,,,,,,,,,237594-1,Fl. Algérie,urn:lsid:ipni.org:publications:14430-2,1889,1889 [1890 publ. Nov-Dec 1889],[1890 publ. Nov-Dec 1889],Batt.,subsp.,Fl. Algérie 1(3): 444. 1889 [1890 publ. Nov-Dec 1889] ,,,,,11,saxatile,(L.) Cass.,,f,t,,,,,,,Batt.@15794-1@1@aut$Sch.Bip.@9294-1@2@bas,Cass.@12375-1@1@aut$L.@12653-1@2@bas,,comb. et stat. nov.,,1.1,f,phagnalon~saxatilepurpurascens,asteraceaephagnalon~saxatilepurpurascens,389,wfo-0000059847,,subspecies,,,,,Yes,Fl. Algérie 1(3): 444 (1889),https://www.ipni.org/n/77371635-1,IPNI Record: 77371635-1
urn:lsid:ipni.org:names:77372477-1,Desf.,,,,,,1(11): 322,,,,,,,,,,,,24/11/2025 15:41,24/11/2025 15:41,,,Asteraceae,Balsamita grandiflora,Balsamita grandiflora,Balsamita,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7838-1,Méd. Eclairée Sci. Phys.,urn:lsid:ipni.org:publications:20022702-1,1791,1791 [15 Nov 1791],[15 Nov 1791],Desf.,spec.,Méd. Eclairée Sci. Phys. 1(11): 322. 1791 [15 Nov 1791] ,,,,,8,grandiflora,,,f,t,,,,,,,Desf.@17958-1@1@aut,,,tax. nov.,,1.1,f,balsamita~grandiflora,asteraceaebalsamita~grandiflora~,1983,wfo-0000080037,,species,,,,,Yes,Méd. Eclairée Sci. Phys. 1(11): 322 (1791),https://www.ipni.org/n/77372477-1,IPNI Record: 77372477-1
urn:lsid:ipni.org:names:77372480-1,Desf.,,,,,,1(11): 324,,,,,,,,,,,,24/11/2025 15:44,24/11/2025 15:44,,,Asteraceae,Scolymus grandiflorus,Scolymus grandiflorus,Scolymus,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10972-1,Méd. Eclairée Sci. Phys.,urn:lsid:ipni.org:publications:20022702-1,1791,1791 [15 Nov 1791],[15 Nov 1791],Desf.,spec.,Méd. Eclairée Sci. Phys. 1(11): 324. 1791 [15 Nov 1791] ,,,,,8,grandiflorus,,,f,t,,,,,,,Desf.@17958-1@1@aut,,,tax. nov.,,1.1,f,scolymus~grandiflorus,asteraceaescolymus~grandiflorus~,1986,wfo-0000094667,,species,,,,,Yes,Méd. Eclairée Sci. Phys. 1(11): 324 (1791),https://www.ipni.org/n/77372480-1,IPNI Record: 77372480-1
urn:lsid:ipni.org:names:77372478-1,Desf.,,,,,,1(11): 322,,,,,,,,,,,,24/11/2025 15:42,24/11/2025 15:42,,,Asteraceae,Balsamita virgata,Balsamita virgata,Balsamita,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7838-1,Méd. Eclairée Sci. Phys.,urn:lsid:ipni.org:publications:20022702-1,1791,1791 [15 Nov 1791],[15 Nov 1791],Desf.,spec.,Méd. Eclairée Sci. Phys. 1(11): 322. 1791 [15 Nov 1791] ,,,,,8,virgata,,,f,t,,,,,,,Desf.@17958-1@1@aut,,,tax. nov.,,1.1,f,balsamita~virgata,asteraceaebalsamita~virgata~,1984,wfo-0000131524,,species,,,,,Yes,Méd. Eclairée Sci. Phys. 1(11): 322 (1791),https://www.ipni.org/n/77372478-1,IPNI Record: 77372478-1
urn:lsid:ipni.org:names:77371888-1,(Willd.) Urb.,Leguminosae Medicago helix Willd.,(Willd.),506208-1,,,15: 66,,,,,,,,,,,,11/11/2025 10:59,11/11/2025 16:00,,,Leguminosae,Medicago obscura subsp. helix,Medicago obscura subsp. helix,Medicago,,f,f,,,,,helix,,,,,,,,,,,,,,,,,,,,,,,,506315-1,Verh. Bot. Vereins Prov. Brandenburg,urn:lsid:ipni.org:publications:823-2,1873,1873,,Urb.,subsp.,Verh. Bot. Vereins Prov. Brandenburg 15: 66. 1873 ,,,,,11,obscura,Retz.,,f,t,,,,,,,Urb.@10993-1@1@aut$Willd.@11692-1@2@bas,Vis.@0-0@1@aut,,comb. et stat. nov.,,1.3,f,medicago~obscurahelix,leguminosaemedicago~obscurahelix,1108,wfo-0000191155,,subspecies,,,,,Yes,Verh. Bot. Vereins Prov. Brandenburg 15: 66 (1873),https://www.ipni.org/n/77371888-1,IPNI Record: 77371888-1
urn:lsid:ipni.org:names:77371904-1,Willd. & Urb.,,,,,,15: 66,,,,,,,,,,,,11/11/2025 11:33,11/11/2025 15:55,,,Leguminosae,Medicago obscura subsp. tornata,Medicago obscura subsp. tornata,Medicago,,f,f,,,,,tornata,,,,,,,,,,nom. superfl.,,,Leguminosae Medicago tornata Willd.,77371903-1,,,,,,,,,,506315-1,Verh. Bot. Vereins Prov. Brandenburg,urn:lsid:ipni.org:publications:823-2,1873,1873,,Willd. & Urb.,subsp.,Verh. Bot. Vereins Prov. Brandenburg 15: 66. 1873 ,,,,,10,obscura,Retz.,,f,t,,,,,,,Willd.@11692-1@1@aut$Urb.@10993-1@2@aut,Vis.@0-0@1@aut,,tax. nov.,,1.3,f,medicago~obscuratornata,leguminosaemedicago~obscuratornata,1107,wfo-0000191158,,subspecies,,,,,Yes,Verh. Bot. Vereins Prov. Brandenburg 15: 66 (1873),https://www.ipni.org/n/77371904-1,IPNI Record: 77371904-1
urn:lsid:ipni.org:names:77372360-1,Valck.Sur.,,,,,,47,,,,,,,,,,,,23/11/2025 21:34,24/11/2025 09:49,,,Cyperaceae,Cyperus brevifolius f. vaginatus,Cyperus brevifolius f. vaginatus,Cyperus,,f,f,,,,,vaginatus,,,,,,,,,,,,,,,,,,,,,,,,30313989-2,Cyperus Mal. Arch.,urn:lsid:ipni.org:publications:18765-2,1898,1898 [24 Jun 1898],[24 Jun 1898],Valck.Sur.,f.,"Cyperus Mal. Arch. 47. 1898 [24 Jun 1898] , as 'vaginata'",", as 'vaginata'",,,,8,brevifolius,(Rottb.) Endl. ex Hassk.,,f,t,,,,,,,Valck.Sur.@11028-1@1@aut,Hassk.@0-0@2@autEx$Endl.@0-0@1@aut$Rottb.@0-0@3@bas,,tax. nov.,,1.3,f,cyperus~brevifoliusvaginatus,cyperaceaecyperus~brevifoliusvaginatus,1808,wfo-0000368915,,form,,,,,Yes,Cyperus Mal. Arch. 47 (1898),https://www.ipni.org/n/77372360-1,IPNI Record: 77372360-1
urn:lsid:ipni.org:names:77372580-1,(Cherm.) Kük.,Cyperaceae Kyllinga alba Nees var. laevissima Cherm.,(Cherm.),77281758-1,,,"IV, 20(Heft 101): 609",,,,,,,,,,,,27/11/2025 15:00,28/11/2025 11:42,,,Cyperaceae,Cyperus cartilagineus var. laevissimus,Cyperus cartilagineus var. laevissimus,Cyperus,,f,f,,,,,laevissimus,,,,,,,,,,,,,,,,,,,,,,,null:,304065-1,Pflanzenr. (Engler),urn:lsid:ipni.org:publications:3295-2,1936,1936,,Kük.,var.,"Pflanzenr. (Engler) IV, 20(Heft 101): 609. 1936 ",,,,,11,cartilagineus,(K.Schum.) Mattf. & Kük.,,f,t,,,,,,,Kük.@5109-1@1@aut$Cherm.@1581-1@2@bas,Mattf.@6232-1@1@aut$Kük.@5109-1@2@aut$K.Schum.@9333-1@3@bas,22004638,comb. nov.,,1.3,f,cyperus~cartilagineuslaevissimus,cyperaceaecyperus~cartilagineuslaevissimus,2297,wfo-0000369373,,variety,,,,,Yes,"Pflanzenr. (Engler) IV, 20(Heft 101): 609 (1936)",https://www.ipni.org/n/77372580-1,IPNI Record: 77372580-1
urn:lsid:ipni.org:names:77372167-1,(Kük.) Kük.,Cyperaceae Kyllinga platyphylla K.Schum. var. longifolia Kük.,(Kük.),77281407-1,,,"IV, 20(Heft 101): 571",,,,,,,,,,,,18/11/2025 17:34,19/11/2025 11:58,,,Cyperaceae,Cyperus ciliatopilosus var. longifolius,Cyperus ciliatopilosus var. longifolius,Cyperus,,f,f,,,,,longifolius,,,,,,,,,,,,,,,,,,,,,,,null:,304110-1,Pflanzenr. (Engler),urn:lsid:ipni.org:publications:3295-2,1936,1936 [24 Nov 1936],[24 Nov 1936],Kük.,var.,"Pflanzenr. (Engler) IV, 20(Heft 101): 571. 1936 [24 Nov 1936] ",,,,,9,ciliatopilosus,Mattf. & Kük.,,f,t,,,,,,,Kük.@5109-1@1@aut$Kük.@0-0@2@bas,Kük.@0-0@2@aut$Mattf.@0-0@1@aut,22004600,comb. nov.,,1.3,f,cyperus~ciliatopilosuslongifolius,cyperaceaecyperus~ciliatopilosuslongifolius,1657,wfo-0000369592,,variety,,,,,Yes,"Pflanzenr. (Engler) IV, 20(Heft 101): 571 (1936)",https://www.ipni.org/n/77372167-1,IPNI Record: 77372167-1
urn:lsid:ipni.org:names:77372592-1,(C.B.Clarke) Kük.,Cyperaceae Kyllinga controversa Steud. var. subexalata C.B.Clarke,(C.B.Clarke),77281288-1,,,"IV, 20(Heft 101): 612",,,,,,,,,,,,27/11/2025 15:00,28/11/2025 11:49,,,Cyperaceae,Cyperus controversus var. subexalatus,Cyperus controversus var. subexalatus,Cyperus,,f,f,,,,,subexalatus,,,,,,,,,,,,,,,,,,,,,,,null:,304193-1,Pflanzenr. (Engler),urn:lsid:ipni.org:publications:3295-2,1936,1936,,Kük.,var.,"Pflanzenr. (Engler) IV, 20(Heft 101): 612. 1936 ",,,,,11,controversus,(Steud.) Mattf. & Kük.,,f,t,,,,,,,C.B.Clarke@1669-1@2@bas$Kük.@5109-1@1@aut,Steud.@10122-1@3@bas$Kük.@5109-1@2@aut$Mattf.@6232-1@1@aut,22004641,comb. nov.,,1.3,f,cyperus~controversussubexalatus,cyperaceaecyperus~controversussubexalatus,2299,wfo-0000370206,,variety,,,,,Yes,"Pflanzenr. (Engler) IV, 20(Heft 101): 612 (1936)",https://www.ipni.org/n/77372592-1,IPNI Record: 77372592-1
