id,authors_t,basionym_s_lower,basionym_author_s_lower,lookup_basionym_id,bibliographic_reference_s_lower,bibliographic_type_info_s_lower,reference_collation_s_lower,collection_date_as_text_s_lower,collection_day_1_s_lower,collection_day_2_s_lower,collection_month_1_s_lower,collection_month_2_s_lower,collection_number_s_lower,collection_year_1_s_lower,collection_year_2_s_lower,collector_team_as_text_t,lookup_conserved_against_id,lookup_correction_of_id,date_created_date,date_last_modified_date,distribution_s_lower,east_or_west_s_lower,family_s_lower,taxon_scientific_name_s_lower,taxon_sci_name_suggestion,genus_s_lower,geographic_unit_as_text_s_lower,hybrid_b,hybrid_genus_b,lookup_hybrid_parent_id,hybrid_parents_s_lower,infra_family_s_lower,infra_genus_s_lower,infraspecies_s_lower,lookup_isonym_of_id,lookup_later_homonym_of_id,latitude_degrees_s_lower,latitude_minutes_s_lower,latitude_seconds_s_lower,locality_s_lower,longitude_degrees_s_lower,longitude_minutes_s_lower,longitude_seconds_s_lower,name_status_s_lower,name_status_bot_code_type_s_lower,name_status_editor_type_s_lower,nomenclatural_synonym_s_lower,lookup_nomenclatural_synonym_id,north_or_south_s_lower,original_basionym_s_lower,original_basionym_author_team_s_lower,original_hybrid_parentage_s_lower,original_remarks_s_lower,original_replaced_synonym_s_lower,original_taxon_distribution_s_lower,lookup_orthographic_variant_of_id,other_links_s_lower,lookup_parent_id,publication_s_lower,lookup_publication_id,publication_year_i,publication_year_full_s_lower,publication_year_note_s_lower,publishing_author_s_lower,rank_s_alphanum,reference_t,reference_remarks_s_lower,remarks_s_lower,lookup_replaced_synonym_id,lookup_same_citation_as_id,score_s_lower,species_s_lower,species_author_s_lower,lookup_superfluous_name_of_id,suppressed_b,top_copy_b,lookup_type_id,type_locations_s_lower,type_name_s_lower,type_remarks_s_lower,type_chosen_by_s_lower,type_note_s_lower,detail_author_team_ids,detail_species_author_team_ids,page_as_text_s_lower,citation_type_s_lower,lookup_validation_of_id,version_s_lower,powo_b,sortable,family_taxon_name_sortable,rhakhis_pk,rhakhis_wfo,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_parent,rhakhis_accepted,rhakhis_basionym
urn:lsid:ipni.org:names:77369913-1,Wad.Khan & Sardesai,,,,,,8(1): 9,,,,,,4277,,,W.Khan,,,01/10/2025 07:42,01/10/2025 13:41,"Maharashtra (India, Indian Subcontinent, Asia-Tropical);Andhra Pradesh (India, Indian Subcontinent, Asia-Tropical);",,Cyperaceae,Eleocharis geniculata var. kundalica,Eleocharis geniculata var. kundalica,Eleocharis,,f,f,,,,,kundalica,,,,,,"Maharashtra, Beed District, Wadwani, Kundalica Dam",,,,,,,,,,,,,,,,,,1029981-2,Bioinfolet,urn:lsid:ipni.org:publications:20011118-2,2011,2011 [Mar 2011],[Mar 2011],Wad.Khan & Sardesai,var.,Bioinfolet 8(1): 9. 2011 [Mar 2011] ,,Etymology: named after locality.,,,11,geniculata,(L.) Roem. & Schult.,,f,t,,holotype CAL;isotype BAMU;isotype HCMCM,,,,,Sardesai@38647-1@2@aut$Wad.Khan@28482-1@1@aut,Roem.@8503-1@1@aut$L.@12653-1@3@bas$Schult.@9288-1@2@aut,,tax. nov.,,1.4,f,eleocharis~geniculatakundalica,cyperaceaeeleocharis~geniculatakundalica,1,wfo-1200114920,,,,,,
urn:lsid:ipni.org:names:77369914-1,Rojas-Fern. & Marcelo-Peña,,,,,,720(2): 180,,21,,3,,202,2025,,"M.A.Rojas-Fernandez, M.F.Orihuela-Aranda, D.J.Santacruz-Díaz &amp; Y.Peña-Guerrero",,,01/10/2025 09:29,03/10/2025 12:49,"Peru (Western South America, Southern America)",,Bromeliaceae,Guzmania sanluisensis,Guzmania sanluisensis,Guzmania,,f,f,,,,,,,,,,,"Cajamarca: Prov. Jaén. San Luis locality, 2390 m",,,,,,,,,,,,,,,,,,326846-2,Phytotaxa,urn:lsid:ipni.org:publications:20011462-1,2025,2025 [30 Sep 2025],[30 Sep 2025],Rojas-Fern. & Marcelo-Peña,spec.,Phytotaxa 720(2): 180. 2025 [30 Sep 2025] [epublished],[epublished],"doi:10.11646/phytotaxa.720.2.9 [english] Etymology: 'The specific epithet refers to San Luis del Nuevo Retiro, where the species was discovered.'",,,11,sanluisensis,,,f,t,,holotype ISV,,,,,Marcelo-Peña@20017614-1@2@aut$Rojas-Fernandez@20093007-1@1@aut,,,tax. nov.,,1.3,f,guzmania~sanluisensis,bromeliaceaeguzmania~sanluisensis~,2,wfo-1000085159,,,,,,
urn:lsid:ipni.org:names:77369915-1,Wad.Khan & Lakshmin.,,,,,,8(1): 5,,,,,,5490,,,D.P.Chavan,,,01/10/2025 13:46,07/10/2025 08:57,"Andhra Pradesh (India, Indian Subcontinent, Asia-Tropical);Kerala (India, Indian Subcontinent, Asia-Tropical);",,Cyperaceae,Eleocharis zatei,Eleocharis zatei,Eleocharis,,f,f,,,,,,,,,,,"Kerala State, Kozikode Dist; Meppayyur (proper)",,,,,,,,,,,,,,,,,,30003459-2,Bioinfolet,urn:lsid:ipni.org:publications:20011118-2,2011,2011 [Mar 2011],[Mar 2011],Wad.Khan & Lakshmin.,spec.,Bioinfolet 8(1): 5. 2011 [Mar 2011] ,,"Etymology: named after Dr. B. R. Zate, (Principal, Shivaji College Parbhani, Maharashtra) for his contributions in the field of taxonomy.",,,11,zatei,,,f,t,,holotype CAL;isotype BAMU;isotype HCMCM,,,,,Lakshmin.@21985-1@2@aut$Wad.Khan@28482-1@1@aut,,,tax. nov.,,1.2,f,eleocharis~zatei,cyperaceaeeleocharis~zatei~,3,wfo-1000085178,,,,,,
urn:lsid:ipni.org:names:77369916-1,R.I.Shaikh & R.D.Taur,,,,,,8(1): 7,,,,,,4429,,,W.Khan,,,01/10/2025 13:50,01/10/2025 13:50,"Maharashtra (India, Indian Subcontinent, Asia-Tropical)",,Cyperaceae,Eleocharis atropurpurea var. vengurlaensis,Eleocharis atropurpurea var. vengurlaensis,Eleocharis,,f,f,,,,,vengurlaensis,,,,,,"Sindhudurg Dist. Sawantwadi, Vengurla",,,,,,,,,,,,,,,,,,306687-1,Bioinfolet,urn:lsid:ipni.org:publications:20011118-2,2011,2011 [Mar 2011],[Mar 2011],R.I.Shaikh & R.D.Taur,var.,Bioinfolet 8(1): 7. 2011 [Mar 2011] ,,Etymology: named after the locality.,,,11,atropurpurea,(Retz.) J.Presl & C.Presl,,f,t,,holotype HCMCM;isotype HCMCM,,,,,R.D.Taur@20027241-1@2@aut$R.I.Shaikh@20027242-1@1@aut,Retz.@8305-1@3@bas$J.Presl@7947-1@1@aut$C.Presl@25074-1@2@aut,,tax. nov.,,1.1,f,eleocharis~atropurpureavengurlaensis,cyperaceaeeleocharis~atropurpureavengurlaensis,4,wfo-1200114921,,,,,,
urn:lsid:ipni.org:names:77369917-1,(Martelli) Hoogland,Dilleniaceae Tetracera moluccana Martelli,(Martelli),317447-1,,,4: 145,,,,,,,,,,,,01/10/2025 20:46,01/10/2025 20:46,,,Dilleniaceae,Tetracera nordtiana var. moluccana,Tetracera nordtiana var. moluccana,Tetracera,,f,f,,,,,moluccana,,,,,,,,,,,,,,,,,,,,,,,,317452-1,"Fl. Males., Ser. 1, Spermat.",urn:lsid:ipni.org:publications:2168-2,1951,1951,,Hoogland,var.,"Fl. Males., Ser. 1, Spermat. 4: 145. 1951 ",,,,,11,nordtiana,F.Muell.,,f,t,,,,,,,Hoogland@4083-1@1@aut$Martelli@22941-1@2@bas,F.Muell.@6732-1@1@aut,,comb. et stat. nov.,,1.1,f,tetracera~nordtianamoluccana,dilleniaceaetetracera~nordtianamoluccana,5,wfo-0001386481,,,,,,
urn:lsid:ipni.org:names:77369918-1,(F.Muell.) Hoogland,Dilleniaceae Tetracera wuthiana F.Muell.,(F.Muell.),317515-1,,,4: 145,,,,,,,,,,,,01/10/2025 20:51,01/10/2025 20:51,,,Dilleniaceae,Tetracera nordtiana var. wuthiana,Tetracera nordtiana var. wuthiana,Tetracera,,f,f,,,,,wuthiana,,,,,,,,,,,,,,,,,,,,,,,,317452-1,"Fl. Males., Ser. 1, Spermat.",urn:lsid:ipni.org:publications:2168-2,1951,1951,,Hoogland,var.,"Fl. Males., Ser. 1, Spermat. 4: 145. 1951 ",,,,85483-3,11,nordtiana,F.Muell.,,f,t,,,,,,,Hoogland@4083-1@1@aut$F.Muell.@6732-1@2@bas,F.Muell.@6732-1@1@aut,,comb. et stat. nov.,,1.1,f,tetracera~nordtianawuthiana,dilleniaceaetetracera~nordtianawuthiana,6,wfo-0001386491,,,,,,
urn:lsid:ipni.org:names:77369919-1,Hoogland,,,,,,4: 145,,,,,,,,,,,,01/10/2025 21:02,01/10/2025 21:02,,,Dilleniaceae,Tetracera nordtiana var. louisiadica,Tetracera nordtiana var. louisiadica,Tetracera,,f,f,,,,,louisiadica,,,,,,,,,,nom. inval.    Latin description or diagnosis lacking,,nom. inval.,,,,,,,,,,,,317452-1,"Fl. Males., Ser. 1, Spermat.",urn:lsid:ipni.org:publications:2168-2,1951,1951,,Hoogland,var.,"Fl. Males., Ser. 1, Spermat. 4: 145. 1951 ",,,,,9,nordtiana,F.Muell.,,f,t,,,,,,,Hoogland@4083-1@1@aut,F.Muell.@6732-1@1@aut,,tax. nov.,,1.1,f,tetracera~nordtianalouisiadica,dilleniaceaetetracera~nordtianalouisiadica,7,wfo-1200011772,,,,,,
urn:lsid:ipni.org:names:77369920-1,Hoogland,,,,,,4: 146,,,,,,,,,,,,01/10/2025 21:04,01/10/2025 21:04,,,Dilleniaceae,Tetracera nordtiana var. celebica,Tetracera nordtiana var. celebica,Tetracera,,f,f,,,,,celebica,,,,,,,,,,nom. inval.    Latin description or diagnosis lacking,,nom. inval.,,,,,,,,,,,,317452-1,"Fl. Males., Ser. 1, Spermat.",urn:lsid:ipni.org:publications:2168-2,1951,1951,,Hoogland,var.,"Fl. Males., Ser. 1, Spermat. 4: 146. 1951 ",,,,,9,nordtiana,F.Muell.,,f,t,,,,,,,Hoogland@4083-1@1@aut,F.Muell.@6732-1@1@aut,,tax. nov.,,1.1,f,tetracera~nordtianacelebica,dilleniaceaetetracera~nordtianacelebica,8,wfo-1200011765,,,,,,
urn:lsid:ipni.org:names:77369921-1,Nadruz,,,,,,73: 40,,16,,3,,3454,2017,,C.N.Fraga,,,01/10/2025 21:20,02/10/2025 07:49,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",,Araceae,Anthurium theofiloanum,Anthurium theofiloanum,Anthurium,,f,f,,,,,,,,,,,"Município de Santa Maria Madalena, Santo Antonio do Imbé",,,,,,,,,,,,,,,,,,329747-2,"Pesquisas, Bot.",urn:lsid:ipni.org:publications:771-2,2019,2019,,Nadruz,spec.,"Pesquisas, Bot. 73: 40. 2019 ",,"[english] Etymology: named in honour of botanist Rodrigo Theofilo Valadares, a specialist in Araceae, who has contributed to the knowledge of the group and especially the genus Anthurium.",,,11,theofiloanum,,,f,t,,holotype RB 684403,,,,,Nadruz@38531-1@1@aut,,,tax. nov.,,1.3,f,anthurium~theofiloanum,araceaeanthurium~theofiloanum~,9,wfo-1000085145,,,,,,
urn:lsid:ipni.org:names:77369923-1,"Ocupa, L.Valenz. & Mark Wilson",,,,,,720(3): 196,,22,,10,,890,2003,,J.Perea et al.,,,02/10/2025 09:30,03/10/2025 15:05,"Peru (Western South America, Southern America)",,Orchidaceae,Pleurothallis yanesha,Pleurothallis yanesha,Pleurothallis,,f,f,,,,,,,,,,,"Pasco: Oxapampa, Huancabamba, Lanturachi, sector Santa Barbara, alrededor del campamento a Milpo, antiguo camino a Santa Bárbara, 3000 m",,,,,,,,,,,,,,,,,,325966-2,Phytotaxa,urn:lsid:ipni.org:publications:20011462-1,2025,2025 [2 Oct 2025],[2 Oct 2025],"Ocupa, L.Valenz. & Mark Wilson",spec.,Phytotaxa 720(3): 196. 2025 [2 Oct 2025] [epublished],[epublished],"doi:10.11646/phytotaxa.720.3.1 [english] Etymology: The specific epithet is named in honour of the Yánesha indigenous people, an ethnic group that inhabits the Pichis and Palcazú river basins in the Oxapampa-Asháninka-Yánesha Biosphere Reserve (BIOAY).",,,11,yanesha,,,f,t,,holotype HOXA 07282,,,,,Mark Wilson@20019181-2@3@aut$Ocupa@20046955-1@1@aut$L.Valenz.@20009317-2@2@aut,,,tax. nov.,,1.2,f,pleurothallis~yanesha,orchidaceaepleurothallis~yanesha~,10,wfo-1000085164,,,,,,
