id,authors_t,basionym_s_lower,basionym_author_s_lower,lookup_basionym_id,bibliographic_reference_s_lower,bibliographic_type_info_s_lower,reference_collation_s_lower,collection_date_as_text_s_lower,collection_day_1_s_lower,collection_day_2_s_lower,collection_month_1_s_lower,collection_month_2_s_lower,collection_number_s_lower,collection_year_1_s_lower,collection_year_2_s_lower,collector_team_as_text_t,lookup_conserved_against_id,lookup_correction_of_id,date_created_date,date_last_modified_date,distribution_s_lower,east_or_west_s_lower,family_s_lower,taxon_scientific_name_s_lower,taxon_sci_name_suggestion,genus_s_lower,geographic_unit_as_text_s_lower,hybrid_b,hybrid_genus_b,lookup_hybrid_parent_id,hybrid_parents_s_lower,infra_family_s_lower,infra_genus_s_lower,infraspecies_s_lower,lookup_isonym_of_id,lookup_later_homonym_of_id,latitude_degrees_s_lower,latitude_minutes_s_lower,latitude_seconds_s_lower,locality_s_lower,longitude_degrees_s_lower,longitude_minutes_s_lower,longitude_seconds_s_lower,name_status_s_lower,name_status_bot_code_type_s_lower,name_status_editor_type_s_lower,nomenclatural_synonym_s_lower,lookup_nomenclatural_synonym_id,north_or_south_s_lower,original_basionym_s_lower,original_basionym_author_team_s_lower,original_hybrid_parentage_s_lower,original_remarks_s_lower,original_replaced_synonym_s_lower,original_taxon_distribution_s_lower,lookup_orthographic_variant_of_id,other_links_s_lower,lookup_parent_id,publication_s_lower,lookup_publication_id,publication_year_i,publication_year_full_s_lower,publication_year_note_s_lower,publishing_author_s_lower,rank_s_alphanum,reference_t,reference_remarks_s_lower,remarks_s_lower,lookup_replaced_synonym_id,lookup_same_citation_as_id,score_s_lower,species_s_lower,species_author_s_lower,lookup_superfluous_name_of_id,suppressed_b,top_copy_b,lookup_type_id,type_locations_s_lower,type_name_s_lower,type_remarks_s_lower,type_chosen_by_s_lower,type_note_s_lower,detail_author_team_ids,detail_species_author_team_ids,page_as_text_s_lower,citation_type_s_lower,lookup_validation_of_id,version_s_lower,powo_b,sortable,family_taxon_name_sortable,rhakhis_wfo,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_parent,rhakhis_accepted,rhakhis_basionym,pub,url,label
urn:lsid:ipni.org:names:77368610-1,Beck,,,,,,11: 62,,,,,,,,,,,,01/09/2025 10:56,01/09/2025 10:56,,,Leguminosae,Anthyllis adriatica,Anthyllis adriatica,Anthyllis,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21681-1,Ann. K. K. Naturhist. Hofmus.,urn:lsid:ipni.org:publications:1241-2,1896,1896,,Beck,spec.,Ann. K. K. Naturhist. Hofmus. 11: 62. 1896 ,,,,,8,adriatica,,,f,t,,,,,,,Beck@12341-1@1@aut,,,tax. nov.,,1.1,f,anthyllis~adriatica,leguminosaeanthyllis~adriatica~,wfo-0000538721,,species,,,,,Ann. K. K. Naturhist. Hofmus. 11: 62 (1896),https://www.ipni.org/77368610-1,IPNI Record: 77368610-1
urn:lsid:ipni.org:names:77368611-1,King & Gamble,,,,,,74(2): 64,,,,,,,,,,,,01/09/2025 13:41,03/09/2025 11:55,,,Ericaceae,Vaccinium viscifolium var. minus,Vaccinium viscifolium var. minus,Vaccinium,,f,f,,,,,minus,,,,,,,,,,,,,,,,,,,,,,,,334741-1,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.",urn:lsid:ipni.org:publications:982-2,1905,1905,,King & Gamble,var.,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 74(2): 64. 1905 , as 'minor'",", as 'minor'",English descr.,,,8,viscifolium,King & Gamble,,f,t,,,,,,,Gamble@3003-1@2@aut$King@4798-1@1@aut,Gamble@0-0@2@aut$King@0-0@1@aut,,tax. nov.,,1.3,f,vaccinium~viscifoliumminus,ericaceaevaccinium~viscifoliumminus,wfo-1200114765,,variety,,,,,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 74(2): 64 (1905)",https://www.ipni.org/77368611-1,IPNI Record: 77368611-1
urn:lsid:ipni.org:names:77368612-1,H.R.Fletcher,,,,,,1936(1): 36,,,,,,,,,,,,01/09/2025 14:19,02/09/2025 10:55,,,Ericaceae,Vaccinium eberhardtii var. pubescens,Vaccinium eberhardtii var. pubescens,Vaccinium,,f,f,,,,,pubescens,,,,,,,,,,,,,,,,,,,,,,,,334373-1,Kew Bull.,urn:lsid:ipni.org:publications:987-2,1936,1936,,H.R.Fletcher,var.,Kew Bull. 1936(1): 36. ,,doi:10.2307/4118565 Latin descr.,,,8,eberhardtii,Dop,,f,t,,,,,,,H.R.Fletcher@2782-1@1@aut,Dop@0-0@1@aut,,tax. nov.,,1.3,f,vaccinium~eberhardtiipubescens,ericaceaevaccinium~eberhardtiipubescens,wfo-1200114760,,variety,,,,,Kew Bull. 1936(1): 36 (1936),https://www.ipni.org/77368612-1,IPNI Record: 77368612-1
urn:lsid:ipni.org:names:77368613-1,J.H.Krelage,,,,,,"11(Anz., Hort. Krelag.): 6",,,,,,,,,,,,01/09/2025 16:00,01/09/2025 16:06,,,Cactaceae,Phyllocactus foersteri,Phyllocactus foersteri,Phyllocactus,,f,f,"137599-1,137553-1",(Phyllocactus phyllanthoides Link × Phyllocactus ackermannii (Haw.) Salm-Dyck),,,,,,,,,,,,,,,,,,,,,,,,,,,30002260-2,Gartenflora,urn:lsid:ipni.org:publications:1200-2,1862,1862,,J.H.Krelage,spec.,"Gartenflora 11(Anz., Hort. Krelag.): 6. 1862 ",,"Author given as 'Krelage', in advertisement for 'E.H.Krelage uns Sohn', but J.H.Krelage listed as editor of plant name list.",,,8,foersteri,,,f,t,,,,,,,J.H.Krelage@20042594-1@1@aut,,,tax. nov.,,1.2,f,phyllocactus~foersteri,cactaceaephyllocactus~foersteri~,wfo-1000084675,,species,,,,,"Gartenflora 11(Anz., Hort. Krelag.): 6 (1862)",https://www.ipni.org/77368613-1,IPNI Record: 77368613-1
urn:lsid:ipni.org:names:77368614-1,J.H.Krelage,,,,,,"11(Anz., Hort. Krelag.): 6",,,,,,,,,,,,01/09/2025 16:12,01/09/2025 16:12,,,Cactaceae,Phyllocactus pfeifferi,Phyllocactus pfeifferi,Phyllocactus,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30002260-2,Gartenflora,urn:lsid:ipni.org:publications:1200-2,1862,1862,,J.H.Krelage,spec.,"Gartenflora 11(Anz., Hort. Krelag.): 6. 1862 ",,"Author given as 'Krelage', in advertisement for 'E.H.Krelage uns Sohn', but J.H.Krelage listed as editor of plant name list.",,,8,pfeifferi,,,f,t,,,,,,,J.H.Krelage@20042594-1@1@aut,,,tax. nov.,,1.1,f,phyllocactus~pfeifferi,cactaceaephyllocactus~pfeifferi~,wfo-1000084676,,species,,,,,"Gartenflora 11(Anz., Hort. Krelag.): 6 (1862)",https://www.ipni.org/77368614-1,IPNI Record: 77368614-1
urn:lsid:ipni.org:names:77368615-1,J.H.Krelage,,,,,,"11(Anz., Hort. Krelag.): 6",,,,,,,,,,,,01/09/2025 16:14,15/09/2025 14:36,,,Cactaceae,Phyllocactus molkenboeri,Phyllocactus molkenboeri,Phyllocactus,,f,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30002260-2,Gartenflora,urn:lsid:ipni.org:publications:1200-2,1862,1862,,J.H.Krelage,spec.,"Gartenflora 11(Anz., Hort. Krelag.): 6. 1862 ",,"Author given as 'Krelage', in advertisement for 'E.H.Krelage uns Sohn', but J.H.Krelage listed as editor of plant name list. Etymology: named in honour of Dr. J. H. Molkenboer.",,,8,molkenboeri,,,f,t,,,,,,,J.H.Krelage@20042594-1@1@aut,,,tax. nov.,,1.2,f,phyllocactus~molkenboeri,cactaceaephyllocactus~molkenboeri~,wfo-1000084792,,species,,,,,"Gartenflora 11(Anz., Hort. Krelag.): 6 (1862)",https://www.ipni.org/77368615-1,IPNI Record: 77368615-1
urn:lsid:ipni.org:names:77368616-1,J.H.Krelage,,,,,,"11(Anz., Hort. Krelag.): 6",,,,,,,,,,,,01/09/2025 16:24,01/09/2025 16:24,,,Cactaceae,Cereus lemairei,Cereus lemairei,Cereus,,f,f,"77328541-1,137599-1",(Cereus speciosissimus (Desf.) Steud. × Phyllocactus phyllanthoides Link),,,,,325453-2,,,,,,,,nom. illeg. later homonym,,nom. illeg.,,,,,,,,,,,,60437289-2,Gartenflora,urn:lsid:ipni.org:publications:1200-2,1862,1862,,J.H.Krelage,spec.,"Gartenflora 11(Anz., Hort. Krelag.): 6. 1862 ",,"Author given as 'Krelage', in advertisement for 'E.H.Krelage uns Sohn', but J.H.Krelage listed as editor of plant name list.",,,10,lemairei,,,f,t,,,,,,,J.H.Krelage@20042594-1@1@aut,,,tax. nov.,,1.1,f,cereus~lemairei,cactaceaecereus~lemairei~,wfo-1000085020,,species,,,,,"Gartenflora 11(Anz., Hort. Krelag.): 6 (1862)",https://www.ipni.org/77368616-1,IPNI Record: 77368616-1
urn:lsid:ipni.org:names:77368617-1,J.H.Krelage,,,,,,"11(Anz., Hort. Krelag.): 6",,,,,,,,,,,,01/09/2025 16:29,01/09/2025 16:29,,,Cactaceae,Phyllocactus fellneri,Phyllocactus fellneri,Phyllocactus,,f,f,"137599-1,137553-1",(Phyllocactus phyllanthoides Link × Phyllocactus ackermannii (Haw.) Salm-Dyck),,,,,,,,,,,,,,,,,,,,,,,,,,,30002260-2,Gartenflora,urn:lsid:ipni.org:publications:1200-2,1862,1862,,J.H.Krelage,spec.,"Gartenflora 11(Anz., Hort. Krelag.): 6. 1862 ",,"Etymology: named for the distinguished breeder A. Fellner. Author given as 'Krelage', in advertisement for 'E.H.Krelage uns Sohn', but J.H.Krelage listed as editor of plant name list. Authorships of hybridparents apparently swapped.",,,8,fellneri,,,f,t,,,,,,,J.H.Krelage@20042594-1@1@aut,,,tax. nov.,,1.1,f,phyllocactus~fellneri,cactaceaephyllocactus~fellneri~,wfo-1000084677,,species,,,,,"Gartenflora 11(Anz., Hort. Krelag.): 6 (1862)",https://www.ipni.org/77368617-1,IPNI Record: 77368617-1
urn:lsid:ipni.org:names:77368618-1,J.H.Krelage,,,,,,"11(Anz., Hort. Krelag.): 7",,,,,,,,,,,,01/09/2025 17:10,01/09/2025 17:10,,,Cactaceae,Phyllocactus miqueli,Phyllocactus miqueli,Phyllocactus,,f,f,137599-1,(Phyllocactus phyllanthoides Link),,,,,,,,,,,,,,,,,,,,,,,,,,,30002260-2,Gartenflora,urn:lsid:ipni.org:publications:1200-2,1862,1862,,J.H.Krelage,spec.,"Gartenflora 11(Anz., Hort. Krelag.): 7. 1862 ",,"Author given as 'Krelage', in advertisement for 'E.H.Krelage uns Sohn', but J.H.Krelage listed as editor of plant name list.",,,8,miqueli,,,f,t,,,,,,,J.H.Krelage@20042594-1@1@aut,,,tax. nov.,,1.1,f,phyllocactus~miqueli,cactaceaephyllocactus~miqueli~,wfo-1000084678,,species,,,,,"Gartenflora 11(Anz., Hort. Krelag.): 7 (1862)",https://www.ipni.org/77368618-1,IPNI Record: 77368618-1
urn:lsid:ipni.org:names:77368619-1,J.H.Krelage,,,,,,"11(Anz., Hort. Krelag.): 7",,,,,,,,,,,,01/09/2025 17:13,01/09/2025 17:13,,,Cactaceae,Phyllocactus pollei,Phyllocactus pollei,Phyllocactus,,f,f,137599-1,(Phyllocactus phyllanthoides Link),,,,,,,,,,,,,,,,,,,,,,,,,,,30002260-2,Gartenflora,urn:lsid:ipni.org:publications:1200-2,1862,1862,,J.H.Krelage,spec.,"Gartenflora 11(Anz., Hort. Krelag.): 7. 1862 ",,"Etymology: 'named after our long-time head of  cultivation'. Author given as 'Krelage', in advertisement for 'E.H.Krelage uns Sohn', but J.H.Krelage listed as editor of plant name list.",,,8,pollei,,,f,t,,,,,,,J.H.Krelage@20042594-1@1@aut,,,tax. nov.,,1.1,f,phyllocactus~pollei,cactaceaephyllocactus~pollei~,wfo-1000084679,,species,,,,,"Gartenflora 11(Anz., Hort. Krelag.): 7 (1862)",https://www.ipni.org/77368619-1,IPNI Record: 77368619-1
